plotID;country_code;site_name;lat;long;altitude;topographic_position;sampling_area;slope;slope_flag;land_use;soil_type;geology;geochemistry;MAP;MAT;PET
DCD1;DRC;ikoma;-2.58476;28.7173;1708;V;3;27;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCD10;DRC;ikoma;-2.58463;28.71763;1706;V;3;28;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCD11;DRC;ikoma;-2.58454;28.71771;1702;V;3;18;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCD12;DRC;ikoma;-2.58444;28.71777;1702;V;3;18;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCD2;DRC;ikoma;-2.5847;28.71737;1708;V;3;27;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCD3;DRC;ikoma;-2.58462;28.71744;1706;V;3;28;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCD4;DRC;ikoma;-2.58454;28.71752;1706;V;3;28;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCD5;DRC;ikoma;-2.58445;28.71759;1706;V;3;28;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCD6;DRC;ikoma;-2.58434;28.71765;1717;V;3;34;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCD7;DRC;ikoma;-2.58488;28.71741;1701;V;3;14;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCD8;DRC;ikoma;-2.5848;28.71749;1701;V;3;14;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCD9;DRC;ikoma;-2.58471;28.71756;1701;V;3;14;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1576;17.72;1301
DCP1;DRC;ikoma;-2.65522;28.68843;1656;PL;3;5;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1548;18.43;1350
DCP10;DRC;ikoma;-2.65546;28.68854;1655;PL;3;6;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1548;18.43;1350
DCP11;DRC;ikoma;-2.65536;28.68857;1655;PL;3;6;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1548;18.43;1350
DCP12;DRC;ikoma;-2.65525;28.68859;1655;PL;3;6;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1548;18.43;1350
DCP2;DRC;ikoma;-2.65533;28.68841;1656;PL;3;5;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1548;18.43;1350
DCP3;DRC;ikoma;-2.65545;28.68838;1656;PL;3;5;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1548;18.43;1350
DCP4;DRC;ikoma;-2.65556;28.68835;1655;PL;3;5;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1548;18.43;1350
DCP5;DRC;ikoma;-2.65568;28.68833;1655;PL;3;5;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1548;18.43;1350
DCP6;DRC;ikoma;-2.65578;28.68831;1659;PL;3;6;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1548;18.43;1350
DCP7;DRC;ikoma;-2.6558;28.68847;1659;PL;3;6;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1548;18.43;1350
DCP8;DRC;ikoma;-2.65569;28.68848;1655;PL;3;5;2;cropland;umbric Ferralols;recent eruptive rocks / basalt;mafic;1548;18.43;1350
