plotID;sampleID;sample_type;u_depth;l_depth;increment_depth
UPL9;UPL9CompL;OS_L;-5;-3;-2
KBPL3;KBPL3CompL;OS_L;-4;-3;-1
KBPL11;KBPL11L;OS_L;-7;-5;-2
KBPL12;KBPL12L;OS_L;-8;-6;-2
KBPL13;KBPL13L;OS_L;-6;-4;-2
KBPL14;KBPL14L;OS_L;-7;-5;-2
KBPL15;KBPL15L;OS_L;-7;-6;-1
KBPL4;KBPL4L;OS_L;-4;-3;-1
KBPL5;KBPL5CL;OS_L;-3;-2;-1
KBPL1;KBPL1PL;OS_L;-6;-5;-1
KBPL10;KBPL10L;OS_L;-8;-6;-2
KBPL8;KBPL8CL;OS_L;-7;-6;-1
KBPL9;KBPL9CL;OS_L;-2;-1;-1
KBPL1;KBPL1.1L_Pu;OS_L;-6;-5;-1
KBPL1;KBPL1.2L_Pu;OS_L;-6;-5;-1
KBPL1;KBPL1.3L_Pu;OS_L;-6;-5;-1
KBPL1;KBPL1.4L_Pu;OS_L;-6;-5;-1
KBPL10;KBPL10Comp_L_Pu;OS_L;-8;-6;-2
KBPL11;KBPL11Comp_L_Pu;OS_L;-7;-5;-2
KBPL12;KBPL12Comp_L_Pu;OS_L;-8;-6;-2
KBPL5;KBPL5Comp_L_Pu;OS_L;-3;-2;-1
KBPL6;KBPL6Comp_L_Pu;OS_L;-4;-3;-1
KBPL7;KBPL7Comp_L_Pu;OS_L;-9;-8;-1
KBPL8;KBPL8Comp_L_Pu;OS_L;-7;-6;-1
KBPL9;KBPL9Comp_L_Pu;OS_L;-2;-1;-1
KBPL16;KBPL16L;OS_L;-7;-6;-1
NPL9;NPL9CompL;OS_L;-11;-8;-3
NPL1;NPL1.3L_Pu;OS_L;-9;-7;-2
NPL1;NPL1.4L_Pu;OS_L;-9;-7;-2
KBPL1;KBPL1L;OS_L;-6;-5;-1
KBPL10;KBPL10PL;OS_L;-8;-6;-2
KBPL6;KBPL6L;OS_L;-4;-3;-1
KBPL2;KBPL2.5L_Pu;OS_L;-3;-2;-1
KBPL2;KBPL2.6L_Pu;OS_L;-3;-2;-1
NPL1;NPL1.1L_Pu;OS_L;-9;-7;-2
NPL10;NPL10Comp_L_Pu;OS_L;-9;-6;-3
NPL11;NPL11CompL;OS_L;-8;-5;-2
KBPL8;KBPL8PL;OS_L;-7;-6;-1
KBPL2;KBPL2.7L_Pu;OS_L;-3;-2;-1
KBPL3;KBPL3.10L_Pu;OS_L;-4;-3;-1
KBPL3;KBPL3.8L_Pu;OS_L;-4;-3;-1
NPL1;NPL1.2L_Pu;OS_L;-9;-7;-2
NPL11;NPL11PL;OS_L;-8;-5;-2
NPL12;NPL12Comp_L_Pu;OS_L;-8;-6;-2
NPL1;NPL1PL;OS_L;-9;-7;-2
NPL2;NPL2.5L_Pu;OS_L;-14;-11;-3
NPL2;NPL2.7L_Pu;OS_L;-14;-11;-3
NPL12;NPL12CompL;OS_L;-8;-6;-2
NPL1;NPL1CompL;OS_L;-9;-7;-2
NPL2;NPL2CompL;OS_L;-14;-11;-3
NPL3;NPL3.10L_Pu;OS_L;-10;-8;-2
NPL3;NPL3.8L_Pu;OS_L;-10;-8;-2
NPL2;NPL2.6L_Pu;OS_L;-14;-11;-3
NPL10;NPL10CompL;OS_L;-9;-6;-3
NPL11;NPL11L_Pu;OS_L;-8;-5;-2
NPL3;NPL3.9L_Pu;OS_L;-10;-8;-2
NPL3;NPL3CompL;OS_L;-10;-8;-2
NPL4;NPL4Comp_L_Pu;OS_L;-12;-9;-3
NPL4;NPL4PL;OS_L;-12;-9;-3
NPL5;NPL5Comp_L_Pu;OS_L;-15;-12;-3
NPL5;NPL5CompL;OS_L;-15;-12;-3
NPL6;NPL6Comp_L_Pu;OS_L;-10;-8;-2
NPL6;NPL6CompL;OS_L;-10;-8;-2
NPL7;NPL7Comp_L_Pu;OS_L;-10;-8;-2
NPL7;NPL7CompL;OS_L;-10;-8;-2
NPL7;NPL7PL;OS_L;-10;-8;-2
NPL8;NPL8Comp_L_Pu;OS_L;-9;-7;-2
NPL8;NPL8CompL;OS_L;-9;-7;-2
NPL9;NPL9Comp_L_Pu;OS_L;-11;-8;-3
KBPL2;KBPL2CompL;OS_L;-3;-2;-1
KBPL4;KBPL4PL;OS_L;-4;-3;-1
KBPL3;KBPL3.9L_Pu;OS_L;-4;-3;-1
KBPL7;KBPL7L;OS_L;-9;-8;-1
KBPL4;KBPL4Comp_L_Pu;OS_L;-4;-3;-1
UPL2;UPL2.7L_Pu;OS_L;-5;-3;-2
UPL3;UPL3.9L_Pu;OS_L;-5;-3;-2
UPL4;UPL4Comp_L_Pu;OS_L;-5;-3;-2
UPL11;UPL11CompL;OS_L;-5;-3;-2
UPL12;UPL12CompL;OS_L;-5;-3;-2
UPL13;UPL13L;OS_L;;;
UPL1;UPL1.1L_Pu;OS_L;-5;-3;-2
UPL1;UPL1.2L_Pu;OS_L;-5;-3;-2
UPL1;UPL1.3L_Pu;OS_L;-5;-3;-2
UPL1;UPL1.4L_Pu;OS_L;-5;-3;-2
UPL10;UPL10CompL;OS_L;-5;-3;-2
UPL11;UPL11PL;OS_L;-5;-3;-2
UPL12;UPL12Comp_L_Pu;OS_L;-5;-3;-2
UPL11;UPL11Comp_L_Pu;OS_L;-5;-3;-2
UPL10;UPL10Comp_L_Pu;OS_L;-5;-3;-2
UPL1;UPL1CompL;OS_L;-5;-3;-2
UPL2;UPL2.5L_Pu;OS_L;-5;-3;-2
UPL2;UPL2.6L_Pu;OS_L;-5;-3;-2
UPL2;UPL2CompL;OS_L;-5;-3;-2
UPL3;UPL3.10L_Pu;OS_L;-5;-3;-2
UPL3;UPL3.8L_Pu;OS_L;-5;-3;-2
UPL3;UPL3CompL;OS_L;-5;-3;-2
UPL4;UPL4CompL;OS_L;-5;-3;-2
UPL5;UPL5Comp_L_Pu;OS_L;-5;-3;-2
UPL5;UPL5CompL;OS_L;-5;-3;-2
UPL6;UPL6Comp_L_Pu;OS_L;-5;-3;-2
UPL6;UPL6CompL;OS_L;-5;-3;-2
UPL7;UPL7Comp_L_Pu;OS_L;-5;-3;-2
UPL7;UPL7CompL;OS_L;-5;-3;-2
UPL7;UPL7PL;OS_L;-5;-3;-2
UPL8;UPL8Comp_L_Pu;OS_L;-5;-3;-2
UPL8;UPL8CompL;OS_L;-5;-3;-2
UPL9;UPL9Comp_L_Pu;OS_L;-5;-3;-2
UPL9;UPL9C6;MS;50;60;10
UPL9;UPL9C7;MS;60;70;10
UPL9;UPL9C8;MS;70;80;10
UPL9;UPL9C9;MS;80;90;10
UPL9;UPL9Comp_M_Pu;MS;0;60;60
DCD1;DCD1M1Pu;MS;0;60;60
DCD1;DCD1M2Pu;MS;60;100;40
DCD10;DCD10M1Pu;MS;0;60;60
DCD10;DCD10M2Pu;MS;60;100;40
DCD11;DCD11M1Pu;MS;0;60;60
DCD11;DCD11M2Pu;MS;60;100;40
DCD12;DCD12M1Pu;MS;0;60;60
DCD12;DCD12M2Pu;MS;60;100;40
DCD2;DCD2M1Pu;MS;0;60;60
DCD2;DCD2M2Pu;MS;60;100;40
DCD3;DCD3M1Pu;MS;0;60;60
DCD3;DCD3M2Pu;MS;60;100;40
DCD4;DCD4M1Pu;MS;0;60;60
DCD4;DCD4M2Pu;MS;60;100;40
DCD5;DCD5M1Pu;MS;0;60;60
DCD5;DCD5M2Pu;MS;60;100;40
DCD6;DCD6M1Pu;MS;0;60;60
DCD6;DCD6M2Pu;MS;60;100;40
DCD7;DCD7M1Pu;MS;0;60;60
DCD7;DCD7M2Pu;MS;60;100;40
DCD8;DCD8M1Pu;MS;0;60;60
DCD8;DCD8M2Pu;MS;60;100;40
DCD9;DCD9M1Pu;MS;0;60;60
DCD9;DCD9M2Pu;MS;60;100;40
DCP1;DCP1M1Pu;MS;0;20;20
DCP1;DCP1M2Pu;MS;20;40;20
DCP1;DCP1M3Pu;MS;40;60;20
DCP10;DCP10M1Pu;MS;0;20;20
DCP10;DCP10M2Pu;MS;20;40;20
DCP10;DCP10M3Pu;MS;40;60;20
DCP11;DCP11M1Pu;MS;0;20;20
DCP11;DCP11M2Pu;MS;20;40;20
DCP11;DCP11M3Pu;MS;40;60;20
DCP12;DCP12M1Pu;MS;0;20;20
DCP12;DCP12M2Pu;MS;20;40;20
DCP12;DCP12M3Pu;MS;40;60;20
DCP2;DCP2M1Pu;MS;0;20;20
DCP2;DCP2M2Pu;MS;20;40;20
DCP2;DCP2M3Pu;MS;40;60;20
DCP3;DCP3M1Pu;MS;0;20;20
DCP3;DCP3M2Pu;MS;20;40;20
DCP3;DCP3M3Pu;MS;40;60;20
DCP4;DCP4M1Pu;MS;0;20;20
DCP4;DCP4M2Pu;MS;20;40;20
DCP4;DCP4M3Pu;MS;40;60;20
DCP5;DCP5M1Pu;MS;0;20;20
DCP5;DCP5M2Pu;MS;20;40;20
DCP5;DCP5M3Pu;MS;40;60;20
DCP6;DCP6M1Pu;MS;0;20;20
DCP6;DCP6M2Pu;MS;20;40;20
DCP6;DCP6M3Pu;MS;40;60;20
DCP7;DCP7M1Pu;MS;0;20;20
DCP7;DCP7M2Pu;MS;20;40;20
DCP7;DCP7M3Pu;MS;40;60;20
DCP8;DCP8M1Pu;MS;0;20;20
DCP8;DCP8M2Pu;MS;20;40;20
DCP8;DCP8M3Pu;MS;40;60;20
DCP9;DCP9M1Pu;MS;0;20;20
DCP9;DCP9M2Pu;MS;20;40;20
DCP9;DCP9M3Pu;MS;40;60;20
DCS13;DCS13M_Pu;MS;0;60;60
DCS14;DCS14M_Pu;MS;0;60;60
DCS15;DCS15M_Pu;MS;0;60;60
DCS16;DCS16M_Pu;MS;0;60;60
DCS17;DCS17M_Pu;MS;0;60;60
DCS18;DCS18M_Pu;MS;0;60;60
DCS19;DCS19M_Pu;MS;0;60;60
