plotID;field_size;crop;crop_var;crop_rotation;crop_pre;growth_dur;fertilizer;pest_manag;farmer;deforestation
DRCPL1;0.25;1;14;0;0;11;1;1;5;5
DRCPL10;0.12;1;10;0;0;13;1;1;5;5
DRCPL11;0.08;2;22;1;1;12;1;1;4;5
DRCPL13;1;1;22;8;1;12;1;1;5;5
DRCPL14;0.23;1;17;10;2;11;1;1;5;5
DRCPL15;1;1;14;0;0;12;1;1;3;5
DRCPL16;1;2;18;3;2;18;4;1;2;5
DRCPL17;0.05;1;14;0;0;12;2;1;4;5
DRCPL18;1;1;14;0;0;13;2;1;1;3
DRCPL19;0.25;1;14;8;2;14;1;1;3;5
DRCPL2;0.08;1;10;0;0;11;1;1;5;5
DRCPL20;0.25;1;17;8;1;12;2;1;1;5
DRCPL21;0.25;1;17;10;2;14;2;1;1;5
DRCPL22;0.05;1;17;0;0;13;2;1;1;2
DRCPL23;0.5;1;14;8;2;11;1;1;1;4
DRCPL24;0.4;1;14;10;1;12;1;1;3;4
DRCPL26;0.13;1;17;2;2;14;1;1;1;4
DRCPL27;0;1;15;9;2;13;1;1;4;1
DRCPL28;0.02;1;15;3;2;12;1;1;3;5
DRCPL29;0.02;1;9;0;0;12;0;1;3;5
DRCPL3;0.12;1;10;0;0;12;1;1;5;5
DRCPL30;0.04;1;15;0;0;12;1;1;4;5
DRCPL31;0.01;1;19;3;1;12;2;1;2;5
DRCPL32;0.07;1;15;3;2;24;1;1;2;5
DRCPL34;0.06;1;3;0;0;22;1;1;1;4
DRCPL35;0.04;1;16;0;0;13;1;1;2;4
DRCPL36;0.12;1;3;2;1;12;0;1;1;4
DRCPL37;0.08;1;6;2;1;13;1;1;2;4
DRCPL38;0.09;1;3;2;1;13;1;1;2;4
DRCPL39;0.06;1;8;0;0;13;1;1;2;4
DRCPL4;0.18;1;9;9;1;12;4;1;5;5
DRCPL40;0.04;1;9;1;1;13;0;1;2;5
DRCPL5;0.25;1;22;0;0;12;1;1;1;4
DRCPL6;0.32;1;24;8;1;12;1;1;3;5
RFPL1;0.01;1;1;3;1;24;0;1;2;5
RFPL10;0.02;1;4;2;1;18;3;1;5;5
RFPL11;0.07;1;4;2;1;18;3;1;5;5
RFPL12;0.02;1;4;2;1;18;3;1;5;5
RFPL13;0.01;1;2;1;1;18;3;1;2;5
RFPL14;0.01;1;2;2;1;18;3;1;3;5
RFPL15;0.02;1;2;2;1;18;5;1;5;5
RFPL16;0.5;1;2;1;1;18;5;1;5;5
RFPL17;0.03;1;2;1;1;18;5;1;5;5
RFPL18;0.01;1;2;2;1;24;0;1;2;5
RFPL19;0.01;1;2;2;1;24;5;1;2;5
RFPL2;0.04;1;13;3;1;24;0;1;2;5
RFPL20;0.38;1;2;3;1;24;5;1;5;5
RFPL21;0.09;1;2;2;1;24;5;1;5;5
RFPL22;0.04;1;1;2;1;12;5;1;5;5
RFPL23;0.2;1;2;2;1;24;5;1;5;5
RFPL24;0.07;1;1;2;1;18;5;1;5;5
RFPL25;0.01;1;2;0;0;18;0;1;1;5
RFPL26;0.04;1;2;3;1;18;1;1;2;5
RFPL27;1.2;1;23;0;0;18;0;1;2;5
RFPL28;0.16;1;23;1;1;18;5;1;5;5
RFPL29;0.2;1;2;2;1;18;5;1;5;5
RFPL3;0.06;1;2;2;2;24;0;1;2;5
RFPL30;0.07;1;23;4;1;18;5;1;5;5
RFPL31;0.04;1;23;2;1;18;5;1;5;5
RFPL32;0.02;1;23;2;1;12;5;1;2;5
RFPL33;0.01;1;23;3;1;12;5;1;3;5
RFPL34;0.01;1;23;2;1;18;5;1;5;5
RFPL4;0.01;1;2;3;2;24;2;1;5;5
RFPL5;0.03;1;2;3;2;24;2;1;5;5
RFPL6;0.01;1;2;2;2;24;0;1;5;5
RFPL8;0.12;1;2;1;2;24;5;1;5;5
RFPL9;0.08;1;11;2;2;24;3;1;2;5
UFPL1;0.03;1;12;1;1;18;1;1;4;5
UFPL10;0.01;1;21;3;1;12;1;1;1;5
UFPL11;0.36;1;21;0;0;12;1;1;2;4
UFPL12;0.06;1;21;3;1;12;0;1;1;5
UFPL14;0.04;1;5;5;1;18;0;1;2;5
UFPL15;0.05;1;21;8;1;18;0;1;2;4
UFPL16;0.12;1;21;2;1;10;1;1;2;4
UFPL17;1.61;1;12;1;1;24;1;1;5;4
UFPL18;1.61;1;12;1;1;24;1;1;5;4
UFPL19;0.05;1;7;1;1;18;0;1;2;5
UFPL2;0.03;1;7;5;1;12;2;1;4;5
UFPL20;0.05;1;12;2;1;18;0;1;2;3
UFPL24;0.03;1;21;6;1;18;0;1;3;5
UFPL25;0.2;1;21;1;1;18;0;1;4;5
UFPL3;0.3;1;20;6;1;18;2;2;1;5
UFPL4;0.48;1;21;0;0;18;0;1;1;5
UFPL5;0.35;1;21;0;0;12;0;1;3;3
UFPL6;0.35;1;21;0;0;12;0;1;2;3
UFPL7;0.63;1;21;0;0;18;0;1;2;3
UFPL8;0.28;1;21;7;1;18;0;1;1;3
