sampleID;MEAN_n_bulk;No_n_bulk;SD_n_bulk;MEAN_n_cPOM;No_n_cPOM;SD_n_cPOM;MEAN_n_m;No_n_m;SD_n_m;MEAN_n_s+c;No_n_s+c;SD_n_s+c;MEAN_c_bulk;No_c_bulk;SD_c_bulk;MEAN_c_cPOM;No_c_cPOM;SD_c_cPOM;MEAN_c_m;No_c_m;SD_c_m;MEAN_c_s+c;No_c_s+c;SD_c_s+c;MEAN_weight_bulk;No_weight_bulk;SD_weight_bulk;MEAN_weight_cPOM;No_weight_cPOM;SD_weight_cPOM;MEAN_weight_m;No_weight_m;SD_weight_m;MEAN_weight_s+c;No_weight_s+c;SD_weight_s+c
UF22C10;0.04242;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.27562;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
UF12C10;0.06997;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.4652;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
RF4C10;0.05332;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.51575;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
RF25C10;0.05319;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.55629;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
RF20C10;0.0707;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.58805;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
DRCPL17C10;0.0685;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.62095;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
UF10C10;0.09024;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.72965;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
RF6C10;0.07031;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.76301;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
UF18C10;0.09087;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.78529;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
RF5C10;0.06539;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.78924;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
