plotID;sampleID;BD_spec;clay_spec;silt_spec;sand_spec;pH_KCL_spec;TC_bulk_spec;TN_bulk_spec;CN_spec;P_avail_spec;bases_in_CEC_spec;CEC_spec;bases_in_ECEC_spec;ECEC_spec;exch_bases_Mg_spec;exch_bases_Ca_spec;exch_bases_K_spec;exch_acidity_Al_spec;Al_py_extract_spec;Al_ox_extract_spec;Al_dcb_extract_spec;Fe_py_extract_spec;Fe_ox_extract_spec;Fe_dcb_extract_spec;Mn_py_extract_spec;Mn_ox_extract_spec;Mn_dcb_extract_spec;Ca_ICPOES_spec;K_ICPOES_spec;Mg_ICPOES_spec;Na_ICPOES_spec;P_ICPOES_spec;Ti_ICPOES_spec;AL_ICPOES_spec;Fe_ICPOES_spec;Mn_ICPOES_spec;Si_XRF_spec;S_XRF_spec;Zr_XRF_spec;Ti_XRF_spec;TI_ZR_ratio_spec;clay_SI_ratio_spec;Fe_tot_Fe_dcb_ratio_spec;delta_14C_CO2_spec;delta_14C_soil_spec;FMC_CO2_spec;FMC_soil_spec;Cmass_CPOM_spec;Cmass_m_spec;Cmass_s+c_spec;Cconc_bulk_spec;Cconc_CPOM_spec;Cconc_m_spec;Cconc_s+c_spec;Nmass_CPOM_spec;Nmass_m_spec;Nmass_s+c_spec;Nconc_bulk_spec;Nconc_CPOM_spec;Nconc_m_spec;Nconc_s+c_spec
DRCPL1;DRCPL1C9;1.39802;58.4314;26.20847;13.01211;4.73847;1.37291;0.1254;18.39701;18.96359;34.29953;24.87149;77.91931;8.20808;1.93832;5.70352;0.30079;-0.31247;0.11231;0.43654;4.93052;-0.00917;1.11808;7.01897;0.02826;0.22133;0.14336;0.18094;0.08671;0.22282;0.0281;0.173293267;0.40598;6.65607;10.62428;0.30054;13.01349;505.79916;424.57966;1.28743;0.00349;4.55066;1.60695;-89.78004;-212.99008;0.91791;0.79371;-9999;-9999;-9999;1.28;2.14;1.04;1.71;0.01;0.42;0.67;0.13;0.08;0.12;0.17
DRCPL1;DRCPL1C4;1.28947;51.62137;30.45163;15.99531;4.69775;3.42609;0.26002;23.27428;42.16542;37.47522;31.25535;87.65021;12.7711;2.40106;8.23605;0.35008;0.16558;0.20589;0.51926;4.29834;0.14007;0.87455;6.42824;0.03566;0.2884;0.16422;0.16265;0.08246;0.18631;0.02618;0.122157248;0.33367;4.88328;9.57361;0.36535;14.25043;602.18789;324.07223;1.31753;0.00387;3.65041;1.65668;-81.55235;-80.06953;0.92623;0.92775;0.03;0.42;0.55;3.43;3.3;3.39;3.97;0.02;0.43;0.62;0.27;0.12;0.27;0.33
DRCPL1;DRCPL1C5;1.31226;54.72464;30.98748;12.76052;4.8359;2.38795;0.1998;19.62993;30.19773;37.85632;28.26294;79.70121;10.7672;2.15499;7.46127;0.33926;-0.03813;0.16561;0.47068;3.95069;0.10222;1.20441;6.43079;0.03358;0.22799;0.13317;0.18733;0.08858;0.23137;0.02493;0.15409673;0.38721;6.65447;10.10854;0.30255;13.01851;596.90082;396.88372;1.29291;0.00354;4.22237;1.69302;-78.693;-163.04395;0.92908;0.84408;0.04;0.47;0.63;2.25;2.72;2.15;2.93;0.02;0.46;0.64;0.21;0.11;0.22;0.27
DRCPL1;DRCPL1C2;1.16066;47.63003;38.54115;12.71421;4.9118;4.05493;0.35648;18.97366;18.23162;41.6231;31.77219;82.88934;14.93921;2.40703;10.38159;0.38428;0.12587;0.23289;0.48331;3.14034;0.21906;1.15718;5.71678;0.03959;0.21526;0.11662;0.20661;0.09426;0.24853;0.01426;0.130091368;0.3205;5.82743;8.81755;0.30403;13.57314;770.82977;356.98239;1.24545;0.00371;3.70549;1.82203;-14.64638;-23.64944;0.99368;0.98466;0.04;0.51;0.47;4.17;3.93;4.24;5.04;0.02;0.52;0.48;0.38;0.16;0.41;0.49
DRCPL1;DRCPL1C1;1.1514;44.92372;37.11934;15.74028;4.74602;4.63711;0.37396;21.11767;41.64367;42.67265;34.29375;90.21075;15.01451;2.65642;9.81091;0.40974;0.62025;0.23163;0.52273;3.2702;0.18114;0.86297;6.08336;0.04415;0.27989;0.1365;0.1841;0.08812;0.20486;0.01944;0.103153043;0.28198;4.63579;9.18325;0.36151;13.86719;730.7522;319.78538;1.30655;0.00375;3.46003;1.74001;-35.01634;31.82943;0.97317;1.04061;0.04;0.44;0.48;4.76;4.27;4.85;5.36;0.02;0.46;0.52;0.39;0.16;0.4;0.45
DRCPL1;DRCPL1C3;1.18485;48.57107;38.87969;11.98701;5.0249;3.95297;0.31658;27.27528;34.35324;42.93357;31.74607;88.49051;14.33998;2.44388;10.1292;0.39;-0.22504;0.23125;0.50985;2.56413;0.2473;1.30461;5.33123;0.03655;0.24259;0.10653;0.21405;0.09767;0.25439;0.022;0.156901813;0.32422;6.02443;8.34694;0.32019;13.99388;754.55635;370.26141;1.27706;0.00372;3.54594;1.90179;-46.21188;-108.44536;0.96183;0.89914;0.05;0.51;0.49;3.95;3.59;4.08;4.96;0.03;0.53;0.53;0.34;0.15;0.37;0.44
DRCPL1;DRCPL1C10;1.50733;53.25975;28.86785;14.3503;4.77503;1.52242;0.10959;26.15049;28.40948;39.02544;23.97284;93.41341;8.54444;2.0947;5.63475;0.28996;-0.77844;0.11864;0.44944;5.42865;0.04591;0.80527;6.41964;0.02693;0.29345;0.17802;0.15069;0.07836;0.15405;0.02909;0.15387979;0.35726;4.59885;10.09982;0.34708;14.36439;391.98876;381.35098;1.26317;0.00357;3.93118;1.49799;-120.3978;-238.95488;0.88705;0.76752;0.01;0.35;0.76;1.47;1.67;1.27;1.85;-9999;-9999;-9999;0.12;0.04;0.11;0.15
DRCPL1;DRCPL1C7;1.44509;53.28754;30.27999;13.24937;4.71685;2.04594;0.14198;28.40743;30.78775;37.71846;24.24604;88.3099;8.86367;1.99009;5.63585;0.28217;-0.40295;0.13444;0.45015;4.43588;0.071;0.80703;6.3614;0.02845;0.28839;0.16266;0.13179;0.07009;0.14058;0.03115;0.130992315;0.37551;4.8676;10.24951;0.35536;14.12275;446.93566;362.35966;1.23126;0.00322;3.92661;1.46056;-117.70158;-239.29275;0.88975;0.76717;0.03;0.4;0.69;1.98;2.1;1.89;2.52;-9999;-9999;-9999;0.15;0.06;0.16;0.19
DRCPL1;DRCPL1C6;1.4025;52.69042;36.62977;9.36085;4.93983;2.07769;0.16981;17.75101;15.36317;39.5691;23.70403;85.62003;9.5652;1.90318;6.90703;0.30637;-0.84478;0.1604;0.43193;3.96922;0.15384;1.10312;5.23678;0.02854;0.24051;0.14334;0.1761;0.08252;0.20154;0.0271;0.152290777;0.37636;5.62011;8.78271;0.30144;14.11431;574.44269;413.84732;1.20146;0.00303;3.74921;1.66337;-97.0095;-252.8223;0.91059;0.75353;-9999;-9999;-9999;1.97;2.11;2.03;2.85;-9999;-9999;-9999;0.19;0.08;0.21;0.27
DRCPL1;DRCPL1C8;1.43422;52.15091;36.40076;9.78725;4.89533;1.69079;0.1411;22.91066;3.18083;41.54887;22.13685;84.67819;9.43071;1.83966;6.79291;0.28237;-0.56278;0.12602;0.37211;4.35294;0.09738;0.9757;5.6455;0.02649;0.20451;0.12995;0.16513;0.08224;0.18744;0.01974;0.144898554;0.38621;5.50888;8.79779;0.26063;13.8072;516.87386;405.74406;1.16605;0.00295;3.94767;1.5799;-77.93087;-232.5169;0.92984;0.77402;-9999;-9999;-9999;1.62;1.91;1.56;2.59;-9999;-9999;-9999;0.16;0.07;0.17;0.25
