plotID;sampleID;sample_date;239_240pu_mean;239_240pu_sd;dect_limit;BD_m_soil
DCD10;DCD10M1Pu;12.07.2018;0.01992;0.00241;0;1.35
DCD10;DCD10M2Pu;12.07.2018;0.02558;0.00546;0;0.994
DCD11;DCD11M1Pu;12.07.2018;0.02622;0.00635;0;1.345
DCD11;DCD11M2Pu;12.07.2018;0.01709;0.00289;0;1.206
DCD12;DCD12M1Pu;12.07.2018;0.02082;0.00028;0;1.021
DCD1;DCD1M1Pu;12.07.2018;0.02218;0.00756;0;1.08
DCD2;DCD2M1Pu;12.07.2018;0.01789;0.01044;0;0.997
DCD3;DCD3M1Pu;12.07.2018;0.01689;0.00525;0;1.106
DCD5;DCD5M1Pu;12.07.2018;0.01369;0.00212;0;1.131
DCD7;DCD7M1Pu;12.07.2018;0.03421;0.00584;0;1.167
DCD7;DCD7M2Pu;12.07.2018;0.04067;0.00132;0;1.246
DCD8;DCD8M1Pu;12.07.2018;0.02252;0.00746;0;1.038
DCD8;DCD8M2Pu;12.07.2018;0.02524;0.00445;0;1.336
DCD9;DCD9M1Pu;12.07.2018;0.03287;0.00739;0;0.716
DCD9;DCD9M2Pu;12.07.2018;0.03538;0.00473;0;1.173
DCP10;DCP10M1Pu;12.07.2018;0.03467;0.00302;0;1.002
DCP11;DCP11M1Pu;12.07.2018;0.0518;0.01549;0;1.046
DCP12;DCP12M1Pu;12.07.2018;0.03997;0.01436;0;1.246
DCP1;DCP1M2Pu;12.07.2018;0.01549;0.00459;0;1.406
DCP3;DCP3M1Pu;12.07.2018;0.03027;0.0074;0;1.269
DCP4;DCP4M1Pu;12.07.2018;0.02851;0.00395;0;1.229
DCP5;DCP5M1Pu;12.07.2018;0.06055;0.01022;0;1.312
DCP6;DCP6M1Pu;12.07.2018;0.03757;0.00501;0;1.098
DCP7;DCP7M1Pu;12.07.2018;0.03709;0.00325;0;0.972
DCP8;DCP8M1Pu;12.07.2018;0.03331;0.00889;0;1.111
DCP9;DCP9M1Pu;12.07.2018;0.03476;0.0096;0;1.255
