sampleID;sample_weight;n;incubation;pre-incubation;C-CO2_SOC;C-CO2_soil;RSD
DRCPL10C1;50;12;67;4;12.8900;0.4800;-9999
DRCPL10C4;50;12;67;4;11.8900;0.2100;-9999
DRCPL10C7;50;10;67;4;3.9600;0.0500;-9999
DRCPL11C1;50;12;67;4;10.7900;0.4400;-9999
DRCPL11C4;50;12;67;4;7.6000;0.1100;-9999
DRCPL11C7;50;10;67;4;6.7600;0.0500;-9999
DRCPL16C1;50;12;67;4;13.9600;0.4900;-9999
DRCPL16C4;50;12;67;4;7.6900;0.2300;-9999
DRCPL16C7;50;10;67;4;5.4700;0.0600;-9999
DRCPL17C1;50;12;67;4;13.8800;0.3600;-9999
DRCPL17C4;50;12;67;4;16.0200;0.2100;-9999
DRCPL17C7;50;10;67;4;10.3300;0.0800;-9999
DRCPL1C1;50;12;67;4;11.2100;0.5200;22.0000
DRCPL1C10;50;10;67;4;5.3500;0.0900;-9999
DRCPL1C4;50;12;67;4;7.9700;0.2400;-9999
DRCPL1C7;50;10;67;4;5.1800;0.0900;57.0000
DRCPL25C1;50;12;67;4;18.2000;0.6300;-9999
DRCPL25C4;50;12;67;4;9.5500;0.2100;30.0000
DRCPL25C7;50;10;67;4;12.1000;0.1000;-9999
DRCPL28C1;50;12;67;4;14.1000;0.4000;-9999
DRCPL28C4;50;12;67;4;11.6600;0.3000;39.0000
DRCPL28C7;50;10;67;4;8.2100;0.0900;-9999
DRCPL30C1;50;12;67;4;12.3400;0.3200;-9999
DRCPL30C4;50;12;67;4;9.5800;0.1800;-9999
DRCPL30C7;50;10;67;4;6.8400;0.0700;-9999
DRCPL32C1;50;12;67;4;17.5100;0.3500;-9999
DRCPL32C10;50;10;67;4;5.6000;0.0900;-9999
DRCPL32C4;50;12;67;4;9.8600;0.2100;-9999
DRCPL32C7;50;10;67;4;4.3100;0.0700;34.0000
DRCPL34C1;50;12;67;4;14.9000;0.3700;-9999
DRCPL34C4;50;12;67;4;12.6900;0.1800;-9999
DRCPL34C7;50;10;67;4;6.3100;0.0500;-9999
DRCPL3C1;50;12;67;4;7.9400;0.3800;-9999
DRCPL3C10;50;10;67;4;6.9700;0.1100;-9999
DRCPL3C4;50;12;67;4;8.1000;0.2800;-9999
