sampleID;C_soil;N_soil;FMC_soil;err_FMC_soil;delta_14C_soil;err_delta_14C_soil;FMC_CO2;err_FMC_CO2;delta_14C_CO2;err_delta_14C_CO2
DRCPL10C1;3.2073;0.2703;0.9704;0.003;-37.8;3;0.9823;0.0016;-26;1.6
DRCPL10C4;1.7822;0.1574;0.8674;0.0024;-139.9;2.4;0.9645;0.003;-43.6;3
DRCPL10C7;0.9978;0.1022;0.7019;0.002;-304;2;0.919;0.0035;-88.7;3.5
DRCPL11C1;3.3167;0.2735;0.9547;0.003;-53.3;3;1.0043;0.0031;-4.2;3.1
DRCPL11C4;1.633;0.153;0.8434;0.0023;-163.7;2.3;0.9586;0.0042;-49.5;4.2
DRCPL11C7;0.8654;0.1041;0.6498;0.0018;-355.7;1.8;0.9236;0.0035;-84.2;3.5
DRCPL16C1;3.0481;0.2241;0.9764;0.0025;-31.8;2.5;0.9953;0.0016;-13.1;1.6
DRCPL16C4;2.0806;0.1627;0.9282;0.0024;-79.7;2.4;0.9979;0.0015;-10.5;1.5
DRCPL16C7;0.8882;0.0937;0.7178;0.002;-288.3;2;0.9199;0.0032;-87.9;3.2
DRCPL17C1;3.0481;0.2241;0.9764;0.0025;-31.8;2.5;0.9953;0.0016;-13.1;1.6
DRCPL17C4;2.0806;0.1627;0.9282;0.0024;-79.7;2.4;0.9979;0.0015;-10.5;1.5
DRCPL17C7;0.8882;0.0937;0.7178;0.002;-288.3;2;0.9199;0.0032;-87.9;3.2
DRCPL1C1;3.7818;0.2842;0.9971;0.0026;-11.3;2.6;0.9971;0.0016;-11.3;1.6
DRCPL1C10;1.2628;0.1057;0.802;0.002;-204.8;2;0.874;0.0025;-133.3;2.5
DRCPL1C4;2.6054;0.1953;0.9624;0.0025;-45.8;2.5;1.0025;0.003;-6;3
DRCPL1C7;1.5246;0.1238;0.8467;0.0021;-160.5;2.1;0.8987;0.0033;-108.9;3.3
DRCPL25C1;3.2073;0.2703;0.9704;0.003;-37.8;3;0.9823;0.0016;-26;1.6
DRCPL25C4;1.7822;0.1574;0.8674;0.0024;-139.9;2.4;0.9645;0.003;-43.6;3
DRCPL25C7;0.9978;0.1022;0.7019;0.002;-304;2;0.919;0.0035;-88.7;3.5
DRCPL28C1;3.0481;0.2241;0.9764;0.0025;-31.8;2.5;0.9953;0.0016;-13.1;1.6
