plotID;subplotID;treeID;genus;species;family;DBH18;stemH;totalH;DBH20;meanWD;predH18;predH20;agb18;agb20;agc18;agc20;forest;f_date;s_date;tree_status;comments
KBPL1;-9999;4364;Xymalos;Monospora;Monimiaceae;-9999;-9999;-9999;9.8700;0.4731;-9999;7.1971;-9999;0.0194;-9999;0.0097;Kahuzi;-9999;15.05.2020;1;Newtree
KBPL1;-9999;4359;Dombeya;Goetzenii;Malvaceae;-9999;-9999;-9999;9.8700;0.5000;-9999;7.1971;-9999;0.0205;-9999;0.0102;Kahuzi;-9999;15.05.2020;1;Newtree
KBPL1;-9999;4358;Albizia;Adianthifolia;Fabaceae;-9999;-9999;-9999;11.9400;0.5075;-9999;8.3804;-9999;0.0350;-9999;0.0175;Kahuzi;-9999;15.05.2020;1;Newtree
KBPL1;-9999;4362;Albizia;Adianthifolia;Fabaceae;-9999;-9999;-9999;12.1700;0.5075;-9999;8.5049;-9999;0.0368;-9999;0.0184;Kahuzi;-9999;15.05.2020;1;Newtree
KBPL1;-9999;4360;Dombeya;Goetzenii;Malvaceae;-9999;-9999;-9999;12.4200;0.5000;-9999;8.6387;-9999;0.0384;-9999;0.0192;Kahuzi;-9999;15.05.2020;1;Newtree
KBPL1;-9999;4363;Maesa;Lanceolata;Primulaceae;-9999;-9999;-9999;12.4200;0.6760;-9999;8.6387;-9999;0.0515;-9999;0.0257;Kahuzi;-9999;15.05.2020;1;Newtree
KBPL1;-9999;4361;Polyscias;Fulva;Araliaceae;-9999;-9999;-9999;12.4500;0.2370;-9999;8.6546;-9999;0.0186;-9999;0.0093;Kahuzi;-9999;15.05.2020;1;Newtree
KBPL1;1;1001;Neoboutonia;Macrocalyx;Euphorbiaceae;11.2000;2.8000;5.4000;12.7700;0.3300;8.5798;8.8234;0.0208;0.0276;0.0104;0.0138;Kahuzi;15.04.2018;15.05.2020;1;
KBPL1;1;1007;Galiniera;Coffeoides;Rubiaceae;10.3000;-9999;-9999;10.8000;0.4731;8.0564;7.7433;0.0236;0.0249;0.0118;0.0124;Kahuzi;15.04.2018;15.05.2020;1;
KBPL1;1;1003;Macaranga;Kilimandsharica;Euphorbiaceae;11.1000;-9999;-9999;11.1500;0.4000;8.5229;7.9426;0.0245;0.0230;0.0122;0.0115;Kahuzi;15.04.2018;15.05.2020;1;
KBPL1;1;1002;Strombosia;Scheffleri;Olacaceae;10.2000;-9999;-9999;11.7200;0.5840;7.9967;8.2601;0.0282;0.0382;0.0141;0.0191;Kahuzi;15.04.2018;15.05.2020;1;
KBPL1;1;1021;Dombeya;Goetzenii;Malvaceae;11.3000;-9999;-9999;12.3000;0.5000;8.6365;8.5746;0.0319;0.0374;0.0159;0.0187;Kahuzi;15.04.2018;15.05.2020;1;Onedeadbranchandanotheroneliving
KBPL1;1;1009;Xymalos;Monospora;Monimiaceae;13.4000;-9999;-9999;14.7100;0.4731;9.7619;9.7963;0.0475;0.0572;0.0237;0.0286;Kahuzi;15.04.2018;15.05.2020;1;
KBPL1;1;1020;Alangium;Chinense;Alangiaceae;14.9000;5.4000;8.2000;17.2000;0.4017;10.4982;10.9319;0.0535;0.0736;0.0267;0.0368;Kahuzi;15.04.2018;15.05.2020;1;
KBPL1;1;1018;Strombosia;Scheffleri;Olacaceae;13.4000;5.6000;11.6000;15.2500;0.5840;9.7619;10.0528;0.0583;0.0773;0.0292;0.0386;Kahuzi;15.04.2018;15.05.2020;1;
