plotID;mean_dbh18;sd_dbh18;mean_dbh20;sd_dbh20;avg_treeH18;sd_treeH18;agb18;agc18;agb20;agc20;stems18;stems20;period;productivity;lambda
KBPL1;23.47778;16.65827;23.76500;16.60357;11.06667;4.11307;196.21840;98.10920;211.88820;105.94410;81.00000;88.00000;2.08493;7.51574;1.20000
KBPL10;30.22000;18.27253;31.52318;18.63415;14.11429;5.92243;149.05165;74.52582;174.53296;87.26648;40.00000;44.00000;2.08493;12.22165;3.60000
KBPL11;20.89808;13.37447;22.94583;13.44088;15.26429;5.09707;205.38784;102.69392;240.50479;120.25240;104.00000;108.00000;2.08493;16.84321;2.90000
KBPL12;21.86056;13.23322;23.66847;13.66975;18.44400;6.11679;126.56765;63.28382;145.36933;72.68466;71.00000;72.00000;2.08493;9.01789;1.40000
KBPL13;21.57506;11.91830;22.18250;11.74339;11.49873;3.98576;120.42563;60.21282;122.94329;61.47165;79.00000;80.00000;0.85479;2.94534;1.50000
KBPL14;22.71279;15.55766;23.76779;15.80999;10.81395;4.92146;190.32227;95.16114;202.31734;101.15867;86.00000;86.00000;0.85479;14.03269;4.10000
KBPL15;22.20831;12.30826;23.21928;12.59251;11.90723;5.24085;141.63805;70.81903;151.53458;75.76729;83.00000;83.00000;0.85479;11.57767;0.00000
KBPL16;22.84047;12.95477;23.18442;12.94096;13.96168;6.73426;205.80791;102.90396;215.83645;107.91823;107.00000;113.00000;0.85479;11.73211;3.10000
KBPL2;31.65000;13.01530;-9999;-9999;-9999;-9999;225.23887;112.61944;-9999;-9999;72.00000;-9999;2.08493;-9999;-9999
KBPL3;27.91354;15.20322;-9999;-9999;-9999;-9999;282.42729;141.21364;-9999;-9999;96.00000;-9999;2.08493;-9999;-9999
KBPL4;21.81474;12.05902;24.12526;12.26393;13.38333;4.44406;160.77960;80.38980;192.36854;96.18427;95.00000;97.00000;2.08493;15.15107;0.50000
KBPL5;23.83953;13.80753;24.37173;14.02806;10.86500;2.89978;167.54627;83.77313;195.83000;97.91500;86.00000;98.00000;2.08493;13.56578;1.00000
KBPL6;24.81358;16.61006;26.57624;16.97604;13.55000;4.54225;200.90568;100.45284;230.93975;115.46987;81.00000;85.00000;2.08493;14.40530;5.00000
KBPL7;23.47097;14.03937;25.65903;14.61337;11.07143;6.02853;204.05727;102.02863;236.74558;118.37279;93.00000;93.00000;2.08493;15.67836;0.50000
KBPL8;24.61705;14.93019;26.58730;15.57992;16.23636;4.95125;205.30082;102.65041;237.26153;118.63076;88.00000;89.00000;2.08493;15.32938;3.60000
KBPL9;26.31798;25.26341;28.48461;27.08699;11.19429;5.07769;195.74936;97.87468;225.15889;112.57945;89.00000;89.00000;2.08493;14.10576;1.20000
NPL1;33.63269;23.16562;34.10943;23.68465;19.99375;5.38844;361.05734;180.52867;377.92674;188.96337;52.00000;53.00000;2.00822;8.40018;0.00000
NPL10;28.16111;21.05160;28.12947;20.97359;19.16471;5.48554;439.70293;219.85146;454.19035;227.09517;90.00000;95.00000;2.00822;7.21406;0.00000
NPL11;28.33333;22.42365;28.54565;22.24417;17.71765;6.21613;456.57248;228.28624;477.65515;238.82758;87.00000;92.00000;2.00822;10.49819;0.00000
NPL12;25.51290;16.72634;25.90309;16.70625;15.70000;5.16398;321.45700;160.72850;335.80450;167.90225;93.00000;97.00000;2.00822;7.14439;0.00000
NPL2;26.67895;16.40456;27.08734;16.16704;16.69630;6.89356;283.76278;141.88139;292.75333;146.37667;76.00000;79.00000;2.00822;4.47688;0.70000
NPL3;29.00328;24.17819;28.40152;23.67374;16.49667;6.63858;395.90028;197.95014;403.82011;201.91006;61.00000;66.00000;2.00822;3.94371;1.60000
NPL4;32.18219;15.75290;33.00000;15.88067;14.54000;3.39028;359.98873;179.99437;371.87122;185.93561;73.00000;73.00000;2.00822;5.91693;1.50000
NPL5;30.21786;17.40938;30.78393;17.41739;14.31176;4.14968;544.82082;272.41041;551.89987;275.94994;112.00000;112.00000;2.00822;3.52504;1.40000
NPL6;29.25000;16.14694;29.98333;16.64995;13.21429;4.12787;279.18536;139.59268;289.42088;144.71044;66.00000;66.00000;2.00822;5.09682;0.00000
NPL7;33.48286;20.95430;32.68933;21.49403;19.11765;4.95230;445.34111;222.67055;462.05151;231.02576;70.00000;75.00000;2.00822;8.32101;0.70000
NPL8;34.29880;18.83804;34.83333;19.31832;18.45333;6.47036;507.50165;253.75082;526.73968;263.36984;83.00000;84.00000;2.00822;9.57965;0.00000
NPL9;28.51860;18.20784;28.03656;18.30651;14.57059;6.05152;392.24656;196.12328;409.01170;204.50585;86.00000;93.00000;2.00822;8.34826;0.00000
UPL1;26.08971;21.12556;28.25224;21.49153;16.07500;6.51004;243.62015;121.81007;266.45164;133.22582;68.00000;67.00000;2.36164;9.66763;7.30000
UPL10;25.13438;15.56225;27.65938;15.72419;18.20000;5.66110;85.69003;42.84502;99.03184;49.51592;32.00000;32.00000;2.36164;5.64937;0.00000
UPL11;27.47422;17.93225;27.80577;17.45390;19.94545;5.17926;150.60107;75.30054;171.88482;85.94241;45.00000;52.00000;2.36164;9.01226;0.90000
UPL12;34.79333;24.14260;35.61915;24.15574;19.43333;6.31468;268.34993;134.17497;287.84919;143.92459;45.00000;47.00000;2.36164;8.25664;0.00000
UPL2;24.55357;15.23172;26.64096;14.95171;16.47692;5.33950;225.60602;112.80301;245.90575;122.95287;84.00000;83.00000;2.36164;8.59559;1.70000
UPL3;23.20674;16.21920;25.87356;16.08142;15.42222;6.34272;240.57207;120.28603;269.82372;134.91186;89.00000;87.00000;2.36164;12.38614;1.60000
UPL4;27.30000;22.35978;28.75323;22.31845;16.38571;7.54044;267.47906;133.73953;295.26962;147.63481;59.00000;62.00000;2.36164;11.76746;1.50000
UPL5;32.64524;20.84782;32.51042;20.90708;17.63333;6.89311;199.73570;99.86785;225.20521;112.60260;42.00000;48.00000;2.36164;10.78465;1.00000
UPL6;28.26667;19.86297;30.01711;20.16450;14.90588;5.25029;267.10286;133.55143;294.69812;147.34906;75.00000;76.00000;2.36164;11.68477;0.00000
UPL7;21.49882;14.16567;24.18953;13.78393;15.88000;5.14726;198.02221;99.01111;229.47953;114.73976;85.00000;86.00000;2.36164;13.32009;0.50000
UPL8;22.50360;15.93964;24.48947;15.46840;14.11818;5.43241;279.88574;139.94287;310.93257;155.46628;111.00000;114.00000;2.36164;13.14628;0.00000
UPL9;20.19697;14.01589;22.29545;13.84976;12.49231;4.92924;120.44990;60.22495;135.05745;67.52873;66.00000;66.00000;2.36164;6.18533;0.00000
