plotID;treeID;sampling_date;Species;N;C;CN;Al;Ca;Fe;K;Mg;Mn;Na;P;Si
KBPL1;1008;22.12.2018;Neoboutonia Macrocalyx ;4.150;50.180;12.090;40.750;8703.870;75.940;17685.580;4106.510;61.130;213.010;2196.800;407.500
KBPL1;1015;22.12.2018;Neoboutonia Macrocalyx;3.900;47.730;12.240;316.260;6360.600;818.290;16294.750;2954.510;142.960;147.600;3191.470;498.600
KBPL1;1017;22.12.2018;Neoboutonia Macrocalyx;3.610;47.840;13.250;420.210;7767.300;719.020;13736.110;3834.160;253.990;61.630;2526.850;588.290
KBPL1;1023;22.12.2018;Allophylus Kivuensis;3.750;48.130;12.840;466.440;5698.030;848.920;10526.610;3033.720;722.050;29.850;3455.390;615.700
KBPL1;1024;22.12.2018;Allophylus Kivuensis;4.520;46.490;10.280;389.670;5899.930;1034.710;28754.370;3510.830;875.820;37.830;3446.510;552.350
KBPL1;1041;22.12.2018;Agauria Salicifolia;2.660;46.020;17.310;303.210;11244.820;692.040;4807.340;1771.470;2219.330;67.980;1786.190;1481.440
KBPL1;1062;22.12.2018;Dombeya Goetzenii;3.450;44.700;12.960;1058.330;10074.100;976.630;23499.900;7070.110;3988.220;41.800;2211.670;478.810
KBPL1;1063;22.12.2018;Dombeya Goetzenii;3.490;46.470;13.320;780.560;6878.770;792.060;21529.580;5538.930;2828.680;35.600;2080.060;421.950
KBPL1;1075;22.12.2018;Allophylus Kivuensis;3.560;49.200;13.840;334.070;4745.760;905.920;11940.060;2291.330;548.270;27.510;2515.350;495.210
KBPL4;1088;22.12.2018;Neoboutonia Macrocalyx;3.940;48.720;12.350;424.870;5390.110;845.890;13856.700;2869.830;206.640;46.350;2682.500;614.140
KBPL4;1091;22.12.2018;Tabernaemontana Johnstonii;3.020;47.140;15.620;468.350;5170.700;442.020;18077.680;4017.680;2281.580;22.570;1894.100;250.160
KBPL4;1092;22.12.2018;Tabernaemontana Johnstonii;3.190;48.750;15.300;486.850;3553.050;439.120;16171.070;3904.350;2000.860;15.270;1769.840;242.470
KBPL4;1095;22.12.2018;Myrianthus Holstii;2.170;41.130;18.970;263.520;7503.730;525.130;5630.200;3106.520;734.790;32.700;932.920;2960.330
KBPL4;1096;22.12.2018;Myrianthus Holstii;2.230;43.320;19.450;237.060;7311.380;526.810;3256.820;3896.520;754.470;35.750;929.440;2824.080
KBPL4;1097;22.12.2018;Myrianthus Holstii;2.690;45.480;16.920;285.730;3253.360;504.460;9444.800;2421.790;228.580;17.730;1004.980;2138.040
KBPL4;1126;22.12.2018;Allophylus Kivuensis;4.610;46.250;10.040;226.310;5146.200;735.990;21358.820;3465.030;1403.510;22.820;4347.450;528.690
KBPL4;1127;22.12.2018;Allophylus Kivuensis;4.620;46.940;10.160;341.860;7023.580;585.780;17600.230;4169.590;1745.810;40.330;3522.350;5131.800
KBPL4;1128;22.12.2018;Allophylus Kivuensis;4.480;46.250;10.310;188.980;8564.680;489.460;16800.530;4665.970;1999.430;39.690;3605.780;655.770
KBPL4;1139;22.12.2018;Macaranga Spinosa;2.520;47.330;18.810;219.790;4502.800;495.990;8110.870;1781.670;1526.870;27.230;1260.390;1155.360
KBPL4;1140;22.12.2018;Macaranga Kilimandsharica;2.470;48.290;19.540;102.510;4759.920;419.710;8100.190;2086.940;1972.830;29.010;1259.130;738.840
KBPL4;1142;22.12.2018;Agauria Salicifolia;3.270;48.760;14.910;140.570;3300.440;321.570;15146.580;2537.910;261.880;23.110;1875.510;161.750
KBPL4;1158;22.12.2018;Neoboutonia Macrocalyx;3.350;46.440;13.860;384.820;10018.400;530.620;15018.590;3850.120;1042.620;88.770;2146.410;530.140
KBPL4;1159;22.12.2018;Neoboutonia Macrocalyx;4.080;48.190;11.810;177.950;5994.200;386.850;15738.880;2976.790;558.990;52.220;2415.860;574.470
KBPL4;1160;22.12.2018;Tabernaemontana Johnstonii;3.120;45.820;14.660;653.020;6302.550;569.150;18751.870;5072.390;3936.100;33.950;1839.240;341.490
KBPL4;1161;22.12.2018;Tabernaemontana Johnstonii;3.150;45.340;14.410;1137.380;9356.030;632.940;11999.040;7758.330;7108.130;30.690;1572.760;448.810
KBPL5;1186;22.12.2018;Neoboutonia Macrocalyx;3.830;48.290;12.620;190.910;4623.090;434.230;17612.650;2927.330;183.430;48.660;3078.940;501.610
KBPL5;1187;22.12.2018;Neoboutonia Macrocalyx;3.900;48.980;12.570;186.900;5639.690;379.580;15670.520;3215.800;190.750;57.800;2892.100;508.670
KBPL5;1203;22.12.2018;Tabernaemontana Johnstonii;3.230;46.270;14.320;1314.390;7032.110;478.140;14670.400;7944.380;4231.270;30.010;1750.530;362.110
KBPL5;1204;22.12.2018;Tabernaemontana Johnstonii;3.410;45.390;13.330;1116.480;7766.090;435.980;19965.880;8194.480;2833.850;30.330;1961.900;399.960
