plotID;species;mean_N;sd_N;mean_C;sd_C;mean_Al;sd_Al;mean_Ca;sd_Ca;mean_Fe;sd_Fe;mean_K;sd_K;mean_Mg;sd_Mg;mean_Mn;sd_Mn;mean_Na;sd_Na;mean_P;sd_P;mean_Si;sd_Si
KBPL1;Allophylus Kivuensis ;3.94;0.51;47.94;1.36;12.32;1.84;396.73;66.47;5447.91;616.4;929.85;95.18;17073.68;10140.43;2945.29;614.54;715.38;163.88;31.73;5.41;3139.08;540.19
KBPL1;Neoboutonia Macrocalyx;3.89;0.27;48.58;1.38;12.53;0.63;259.07;196.09;7610.59;1179.47;537.75;403.01;15905.48;2003.3;3631.73;602.09;152.69;96.8;140.75;75.92;2638.37;506.63
KBPL1;Dombeya Goetzenii ;3.47;0.03;45.58;1.25;13.14;0.25;919.45;196.41;8476.44;2259.44;884.34;130.51;22514.74;1393.23;6304.52;1082.71;3408.45;819.92;38.7;4.39;2145.86;93.06
KBPL1;Agauria Salicifolia ;2.66;-9999;46.02;-9999;17.31;-9999;303.21;-9999;11244.82;-9999;692.04;-9999;4807.34;-9999;1771.47;-9999;2219.33;-9999;67.98;-9999;1786.19;-9999
KBPL10;Alangium Chinense;3.2;0.2;45.17;1.37;14.12;0.47;86.46;28.06;12543.71;1185.74;153.32;34.67;16844.2;5330.95;3539.44;254.66;33.09;2.01;63.58;2.9;2851.54;515.52
KBPL10;Neoboutonia Macrocalyx;3.83;0.35;46.85;0.64;12.29;1.04;90.33;5.5;11784.96;1926.44;148.75;10.78;15768.92;1669.16;4387.68;660.1;75.74;29.88;64.27;4.76;3127.27;462.38
KBPL10;Dombeya Goetzenii;4.57;-9999;45.3;-9999;9.92;-9999;130.15;-9999;10794.18;-9999;214.94;-9999;28797.63;-9999;3226.03;-9999;55.21;-9999;53.24;-9999;3334.48;-9999
KBPL11;Neoboutonia Macrocalyx;3.55;0.69;45.75;0.61;13.14;2.72;123.23;34.98;12107.64;546.7;171.74;14.45;18781.39;7140.11;3986.11;524.69;48.53;17.73;54.6;4.79;3515.74;905.75
KBPL11;Maesa Lanceolata;3.17;0.1;47.93;0.68;15.11;0.34;138.93;21.88;9072.53;2108.56;221.5;61.31;23103.83;1757.24;2294.61;479.2;97.8;22.87;28.42;7.37;2933.26;112.34
KBPL11;Dombeya Goetzenii;4.02;0.32;45.22;0.78;11.28;0.71;121.98;26.81;14195.86;3239.9;200.83;20.64;24187.1;29.24;3363.32;317.63;94.05;32.14;32.98;4.61;3625.15;72.28
KBPL11;Xymalos Monospora;2.64;0.09;42.55;1.19;16.1;0.07;777.15;449.89;11657.22;3291.78;261.16;56.14;18647.92;2843.17;5604.33;447.95;213.78;131.49;49.44;35.75;2228.26;234.1
KBPL11;Cassipourea Ruwensorensis;2.1;0.48;46.9;1.54;23.35;6.44;186.6;41.67;10822.09;4854.79;224.78;19.44;8840.35;1286.22;2472.9;311.15;68.28;96.12;32.52;8.95;2429.48;680.94
KBPL12;Neoboutonia Macrocalyx;3.55;0.11;47.76;0.31;13.45;0.48;215.81;24.62;9054.02;308.93;217.42;44.43;14008.72;2381.42;4094.31;588.51;202.82;32.58;69.33;7.52;2879.78;99.42
KBPL12;Dombeya Goetzenii;4.33;0.16;46.65;0.57;10.78;0.38;114.26;29.18;8786.44;874.5;190.3;36.98;21745.87;4087.88;3395.29;242.58;172.38;28.2;35.74;1.52;3036.72;427.18
KBPL12;Cassipourea Ruwensorensis;1.96;0.31;47.1;1.18;24.46;4.66;173.73;66.36;7592.77;1680.35;208.87;63.59;7631.69;994.87;3584.56;742.09;532.07;76.38;34.48;2.54;1208.34;76.7
KBPL12;Agauria Salicifolia;1.73;-9999;50.44;-9999;29.16;-9999;214.03;-9999;4900.26;-9999;180.24;-9999;6627.55;-9999;2213.56;-9999;820.46;-9999;30.04;-9999;856.14;-9999
KBPL4;Allophylus Kivuensis;4.57;0.08;46.48;0.4;10.17;0.14;252.39;79.71;6911.48;1711.99;603.74;124.24;18586.53;2433.94;4100.2;603.47;1716.25;299.06;34.28;9.93;3825.2;454.21
KBPL4;Myrianthus Holstii;2.36;0.28;43.31;2.18;18.45;1.35;262.11;24.36;6022.82;2400.35;518.8;12.45;6110.61;3121.84;3141.61;737.99;572.61;298.1;28.73;9.64;955.78;42.64
KBPL4;Tabernaemontana Johnstonii;3.12;0.07;46.76;1.53;15;0.56;686.4;311.91;6095.58;2449.03;520.81;96.25;16249.92;3037.36;5188.19;1792.33;3831.66;2345.26;25.62;8.39;1768.99;140.35
KBPL4;Neoboutonia Macrocalyx;3.79;0.39;47.78;1.19;12.67;1.06;329.22;132.52;7134.24;2515.95;587.78;234.8;14871.39;949.68;3232.25;537.76;602.75;419.7;62.45;22.98;2414.92;268.05
KBPL4;Macaranga Kilimandsharica;2.47;-9999;48.29;-9999;19.54;-9999;102.51;-9999;4759.92;-9999;419.71;-9999;8100.19;-9999;2086.94;-9999;1972.83;-9999;29.01;-9999;1259.13;-9999
KBPL4;Macaranga Spinosa;2.52;-9999;47.33;-9999;18.81;-9999;219.79;-9999;4502.8;-9999;495.99;-9999;8110.87;-9999;1781.67;-9999;1526.87;-9999;27.23;-9999;1260.39;-9999
KBPL4;Agauria Salicifolia;3.27;-9999;48.76;-9999;14.91;-9999;140.57;-9999;3300.44;-9999;321.57;-9999;15146.58;-9999;2537.91;-9999;261.88;-9999;23.11;-9999;1875.51;-9999
KBPL5;Tabernaemontana Johnstonii;3.39;0.16;45.43;0.81;13.42;0.86;1132.56;174.36;7442.76;374.7;423.37;62.05;20621.26;6304.15;7540.54;924.57;3082.01;1047.47;32.6;4.22;1919.47;152.24
KBPL5;Neoboutonia Macrocalyx;3.86;0.05;48.63;0.49;12.6;0.04;188.91;2.84;5131.39;718.85;406.9;38.65;16641.59;1373.3;3071.57;203.98;187.09;5.18;53.23;6.46;2985.52;132.11
KBPL5;Dombeya Goetzenii;3.69;0.27;45.85;0.44;12.48;1.03;396.06;120.82;8725.27;952.24;658.57;175.83;36759.69;6784.3;3373.52;73.41;264.73;49.19;38.32;4.79;3042.06;677.62
KBPL5;Allophylus Kivuensis;4.47;0.42;46.04;0.66;10.34;0.87;165.75;17.77;6493.61;2706.38;421.52;19.5;20003.6;5875.63;4868.16;1169.33;582.59;233.98;31.44;9.55;3010.69;813.98
KBPL6;Macaranga Kilimandsharica;2.32;0.18;45.39;1.65;19.6;1.26;269.03;116;7758.61;2325.15;401.93;61.17;4207.13;901.92;4896.24;1209.54;748.6;443.49;60;7.72;1374.09;51.26
KBPL6;Allophylus Kivuensis;3.91;0.47;46.44;1.35;12.01;1.66;217.21;70.2;9857.76;3048.28;427.37;83.67;15085.85;6809.88;6471.74;2079.29;314.81;119.78;63.61;17.7;2784.06;486.05
KBPL6;Dombeya Goetzenii;4.29;0.17;44.19;0.87;10.32;0.36;316.23;137.19;15114.72;3647.09;506.44;170.35;26037.84;4490.74;5694.88;691.69;139.33;47.63;66.16;20.61;3221.71;351.81
KBPL6;Neoboutonia Macrocalyx;4.06;0.07;45.85;1.97;11.29;0.29;172.69;22.21;10642.75;3740.23;321.91;44.95;13609.69;1545.37;7190;2524.56;108.56;38.31;187.21;124.24;3253.74;588.58
KBPL6;Alangium Chinense;3.68;-9999;45.86;-9999;12.48;-9999;143.17;-9999;7315.07;-9999;330.25;-9999;21448.89;-9999;2827.15;-9999;32.45;-9999;53.45;-9999;3199.39;-9999
KBPL7;Alangium Chinense;3.92;0.15;44.69;0.51;11.41;0.42;90.83;13.59;11111.75;750.86;228.84;59.53;21203.93;2494.35;4943.82;848.52;30.26;2.56;95.88;8.88;3310.53;429.69
KBPL7;Maesa Lanceolata;3.36;0.23;47.9;0.69;14.29;1.2;115.94;38.21;7216.71;891.92;261.82;63.94;25122.39;4223.96;3880.98;1282.97;125.08;69.57;35.19;9.57;2723.75;277.79
KBPL7;Neoboutonia Macrocalyx;3.43;0.17;45.48;0.11;13.28;0.71;161.37;12.97;10128.93;1108.55;277.66;32.14;16135.84;2277.8;8128.86;620.79;50.93;7.45;82.62;9.23;3246.17;104.21
KBPL7;Dombeya Goetzenii;4.18;0.49;43.26;2.26;10.4;0.68;327.23;53.32;15008.17;2610.66;513.15;115.78;29638.13;9915.61;7575.64;971.17;91.85;25.4;80.7;27.06;2959.45;372.27
KBPL8;Maesa Lanceolata;3.21;0.23;48.58;0.11;15.15;1.05;151.32;62.98;7579.79;10.7;192.6;53.95;18419.56;7722.46;2336.17;177.59;517.81;95.88;28.83;2.38;1794.48;78.39
KBPL8;Macaranga Spinosa;2.54;0.04;46.2;0.13;18.21;0.34;137.5;67.07;6157.82;180.55;178.96;45.39;8449.35;467.76;2592.97;82.44;1769.72;296.87;20.87;4.59;1326.03;10.52
KBPL8;Tabernaemontana Johnstonii;3.59;0.14;45.84;1.26;12.81;0.82;672.72;110.18;6012.45;567.31;202.12;18.08;21091.54;5710.63;5175.25;232.54;2377.95;285.63;25.45;2.86;1845.8;201.14
KBPL8;Neoboutonia Macrocalyx;4.08;0.1;47.89;0.32;11.75;0.21;147.34;63.7;7346.44;1175.67;166.61;26.64;14296.99;1817.4;4006.53;345.21;355.98;77.44;65.75;7.26;2665.88;473.73
KBPL8;Allophylus Kivuensis;4.45;0.13;48.03;0.99;10.8;0.48;130.16;5.83;4626.19;1404.88;230.63;14.12;15928.59;1625.71;3073.8;776.38;772.3;288.68;25.28;8.57;2550.5;160.17
KBPL8;Dombeya Goetzenii;3.93;0.35;45.59;0.96;11.64;0.8;183.06;9.96;10761.7;1494.47;303.78;26.86;17483.87;153.03;4354.36;573.95;617.38;97.39;48.48;1.44;2443.93;81.74
KBPL8;Macaranga Kilimandsharica;3.33;-9999;45.11;-9999;13.54;-9999;322.6;-9999;6968.08;-9999;385.16;-9999;10966.32;-9999;3190.77;-9999;1161.35;-9999;33.24;-9999;1616.89;-9999
KBPL9;Myrianthus Holstii;2.58;0.09;43.99;1.59;17.04;0.04;315.9;190.63;6755.28;545.9;399.86;260.84;9993.26;2504.72;3773.92;63.65;227.73;100.98;36.19;8.04;1512.64;246.81
KBPL9;Neoboutonia Macrocalyx;3.89;0.32;46.47;0.09;11.98;0.95;221.38;72.19;9545.16;1017.3;200.41;59.62;11909.45;1334.12;5393.09;856.85;293.9;27.68;127.79;14.55;2673.21;255.02
KBPL9;Alangium Chinense;4.38;0.31;46.18;0.22;10.57;0.8;75.67;7.67;10179.29;1513.52;146.28;20.5;17424.28;1079.48;4062.84;188.46;81.56;12.01;63.33;11.16;2916.59;148.89
KBPL9;Dombeya Goetzenii;4.28;0.41;44.56;1.35;10.48;1.27;270.75;49.69;11132.49;1559.62;352.84;69.65;29114.81;14313.59;5284.32;740.66;303.33;75.62;62.2;9.85;3243.44;715.28
