plotID;season;min_litter;max_litter;mean_litter;sd_litter;sum_litter;no
KBPL13;weak_dry;0.0325;0.0367;0.0345;0.0021;3.1085;3
UPL2;strong_rain;0.0101;0.0195;0.0140;0.0033;1.2625;6
UPL3;strong_rain;0.0091;0.0185;0.0140;0.0035;1.2587;6
NPL4;strong_rain;0.0238;0.0312;0.0260;0.0035;2.3408;4
NPL11;weak_dry;0.0085;0.0208;0.0145;0.0038;1.3084;12
UPL6;strong_dry;0.0114;0.0233;0.0199;0.0044;1.7895;6
KBPL12;weak_rain;0.0150;0.0277;0.0205;0.0045;1.8455;7
NPL4;weak_dry;0.0106;0.0268;0.0164;0.0045;1.4724;12
KBPL15;strong_dry;0.0196;0.0337;0.0257;0.0049;2.3128;7
NPL7;weak_dry;0.0070;0.0238;0.0165;0.0050;1.4857;12
NPL8;weak_dry;0.0082;0.0243;0.0162;0.0050;1.4563;12
UPL5;strong_dry;0.0078;0.0210;0.0139;0.0052;1.2549;6
KBPL16;strong_dry;0.0246;0.0380;0.0319;0.0052;2.8724;7
UPL4;strong_rain;0.0091;0.0210;0.0147;0.0053;1.3232;6
UPL11;strong_rain;0.0068;0.0205;0.0114;0.0053;1.0237;6
UPL10;strong_rain;0.0043;0.0200;0.0107;0.0059;0.9626;6
NPL2;weak_dry;0.0079;0.0249;0.0167;0.0059;1.5072;12
KBPL11;weak_dry;0.0168;0.0331;0.0258;0.0060;2.3246;7
UPL10;strong_dry;0.0073;0.0238;0.0136;0.0061;1.2284;6
UPL9;strong_rain;0.0053;0.0225;0.0105;0.0063;0.9440;6
UPL1;strong_rain;0.0088;0.0230;0.0160;0.0064;1.4412;6
KBPL12;weak_dry;0.0118;0.0325;0.0234;0.0067;2.1086;7
UPL8;strong_rain;0.0104;0.0291;0.0160;0.0070;1.4369;6
UPL9;strong_dry;0.0114;0.0306;0.0172;0.0073;1.5469;6
KBPL12;strong_dry;0.0141;0.0379;0.0281;0.0075;2.5265;9
KBPL11;strong_dry;0.0164;0.0419;0.0271;0.0076;2.4390;9
NPL10;weak_dry;0.0096;0.0373;0.0186;0.0076;1.6766;12
KBPL15;weak_dry;0.0169;0.0410;0.0258;0.0077;2.3252;7
KBPL14;weak_rain;0.0164;0.0392;0.0264;0.0079;2.3760;6
UPL8;strong_dry;0.0104;0.0303;0.0185;0.0079;1.6606;6
UPL7;strong_dry;0.0142;0.0341;0.0226;0.0083;2.0322;6
KBPL15;weak_rain;0.0159;0.0392;0.0236;0.0085;2.1260;6
NPL9;weak_dry;0.0086;0.0362;0.0219;0.0088;1.9740;12
UPL3;strong_dry;0.0086;0.0278;0.0193;0.0089;1.7364;6
UPL1;strong_dry;0.0157;0.0402;0.0230;0.0090;2.0701;6
KBPL13;strong_dry;0.0124;0.0343;0.0229;0.0090;2.0627;6
NPL8;weak_rain;0.0134;0.0441;0.0266;0.0091;2.3920;11
KBPL15;strong_rain;0.0169;0.0415;0.0252;0.0091;2.2682;6
UPL2;strong_dry;0.0099;0.0346;0.0185;0.0092;1.6644;6
KBPL16;weak_dry;0.0156;0.0384;0.0280;0.0093;2.5209;6
KBPL14;weak_dry;0.0190;0.0459;0.0294;0.0096;2.6492;7
UPL10;weak_dry;0.0157;0.0463;0.0299;0.0098;2.6871;11
UPL5;weak_rain;0.0058;0.0359;0.0200;0.0099;1.7971;12
NPL12;weak_rain;0.0119;0.0485;0.0231;0.0099;2.0797;11
KBPL10;weak_dry;0.0072;0.0359;0.0169;0.0100;1.5191;7
UPL12;weak_rain;0.0104;0.0404;0.0218;0.0100;1.9639;12
KBPL14;strong_rain;0.0150;0.0456;0.0303;0.0104;2.7242;6
UPL5;strong_rain;0.0063;0.0346;0.0155;0.0105;1.3952;6
UPL7;weak_dry;0.0083;0.0424;0.0200;0.0105;1.8022;11
NPL6;weak_dry;0.0043;0.0433;0.0137;0.0106;1.2301;12
UPL3;weak_dry;0.0197;0.0562;0.0327;0.0106;2.9388;11
UPL12;strong_rain;0.0109;0.0379;0.0175;0.0108;1.5793;6
UPL7;strong_rain;0.0063;0.0384;0.0187;0.0108;1.6833;6
NPL12;weak_dry;0.0106;0.0416;0.0216;0.0108;1.9398;12
UPL5;weak_dry;0.0124;0.0457;0.0267;0.0110;2.4035;11
UPL12;strong_dry;0.0066;0.0359;0.0210;0.0111;1.8881;6
UPL2;weak_rain;0.0048;0.0450;0.0198;0.0111;1.7838;12
UPL4;weak_dry;0.0147;0.0500;0.0333;0.0112;2.9948;11
UPL12;weak_dry;0.0081;0.0490;0.0224;0.0113;2.0165;11
KBPL16;weak_rain;0.0124;0.0424;0.0198;0.0114;1.7859;6
UPL6;weak_dry;0.0136;0.0519;0.0253;0.0116;2.2789;11
UPL2;weak_dry;0.0083;0.0475;0.0243;0.0116;2.1864;11
NPL5;weak_dry;0.0121;0.0478;0.0228;0.0116;2.0508;12
KBPL10;weak_rain;0.0096;0.0441;0.0237;0.0117;2.1309;7
UPL10;weak_rain;0.0081;0.0457;0.0224;0.0118;2.0132;12
NPL1;weak_rain;0.0123;0.0478;0.0283;0.0118;2.5429;11
KBPL11;weak_rain;0.0170;0.0555;0.0328;0.0119;2.9557;7
KBPL10;strong_dry;0.0163;0.0510;0.0289;0.0119;2.6011;9
UPL9;weak_rain;0.0048;0.0409;0.0193;0.0123;1.7402;12
UPL11;strong_dry;0.0088;0.0455;0.0254;0.0126;2.2862;6
UPL3;weak_rain;0.0121;0.0470;0.0278;0.0128;2.5061;12
KBPL16;strong_rain;0.0214;0.0597;0.0385;0.0128;3.4608;6
KBPL6;strong_rain;0.0289;0.0569;0.0458;0.0130;4.1206;6
NPL4;weak_rain;0.0157;0.0632;0.0312;0.0132;2.8107;11
KBPL4;strong_dry;0.0240;0.0427;0.0333;0.0132;2.9985;2
UPL1;weak_dry;0.0126;0.0559;0.0334;0.0134;3.0081;11
NPL10;weak_rain;0.0134;0.0566;0.0270;0.0134;2.4286;11
UPL6;weak_rain;0.0088;0.0599;0.0232;0.0134;2.0907;11
KBPL14;strong_dry;0.0196;0.0525;0.0352;0.0135;3.1717;7
NPL5;weak_rain;0.0196;0.0669;0.0337;0.0135;3.0298;11
KBPL12;strong_rain;0.0193;0.0523;0.0374;0.0136;3.3639;5
UPL6;strong_rain;0.0043;0.0450;0.0164;0.0136;1.4736;7
UPL4;strong_dry;0.0073;0.0457;0.0204;0.0139;1.8350;6
UPL11;weak_dry;0.0146;0.0647;0.0293;0.0140;2.6414;11
NPL6;strong_rain;0.0159;0.0458;0.0295;0.0141;2.6593;4
NPL3;weak_rain;0.0165;0.0568;0.0363;0.0142;3.2664;11
KBPL6;strong_dry;0.0189;0.0619;0.0333;0.0150;3.0002;9
NPL12;strong_rain;0.0173;0.0495;0.0315;0.0151;2.8334;4
UPL7;weak_rain;0.0083;0.0564;0.0219;0.0151;1.9677;12
NPL9;weak_rain;0.0117;0.0679;0.0306;0.0152;2.7521;11
KBPL13;strong_rain;0.0153;0.0617;0.0337;0.0164;3.0306;6
NPL2;strong_dry;0.0174;0.0720;0.0309;0.0166;2.7831;10
NPL9;strong_dry;0.0189;0.0777;0.0302;0.0172;2.7206;10
KBPL8;strong_dry;0.0565;0.0816;0.0690;0.0177;6.2110;2
KBPL10;strong_rain;0.0210;0.0655;0.0487;0.0178;4.3848;6
KBPL6;weak_rain;0.0228;0.0724;0.0323;0.0180;2.9030;7
UPL11;weak_rain;0.0109;0.0748;0.0281;0.0180;2.5269;12
KBPL6;weak_dry;0.0146;0.0581;0.0321;0.0185;2.8857;6
NPL11;strong_dry;0.0129;0.0703;0.0254;0.0201;2.2899;10
UPL8;weak_rain;0.0051;0.0637;0.0234;0.0203;2.1099;12
NPL8;strong_rain;0.0184;0.0586;0.0360;0.0203;3.2377;4
NPL10;strong_dry;0.0168;0.0870;0.0279;0.0209;2.5077;10
NPL6;weak_rain;0.0141;0.0761;0.0303;0.0210;2.7265;11
NPL3;strong_rain;0.0164;0.0614;0.0412;0.0214;3.7081;4
NPL1;strong_rain;0.0108;0.0576;0.0280;0.0218;2.5205;4
NPL1;strong_dry;0.0108;0.0847;0.0228;0.0219;2.0559;10
KBPL2;strong_dry;0.0433;0.0747;0.0590;0.0222;5.3106;2
NPL3;weak_dry;0.0114;0.0884;0.0325;0.0228;2.9222;12
KBPL9;strong_dry;0.0446;0.0769;0.0608;0.0228;5.4698;2
KBPL11;strong_rain;0.0216;0.0747;0.0418;0.0230;3.7584;5
NPL2;weak_rain;0.0153;0.0958;0.0371;0.0231;3.3347;11
NPL9;strong_rain;0.0187;0.0737;0.0459;0.0235;4.1270;4
NPL8;strong_dry;0.0147;0.0925;0.0262;0.0235;2.3557;10
NPL5;strong_dry;0.0181;0.0945;0.0380;0.0240;3.4224;10
UPL4;weak_rain;0.0083;0.0784;0.0350;0.0248;3.1525;12
NPL7;weak_rain;0.0148;0.1020;0.0353;0.0257;3.1736;11
NPL3;strong_dry;0.0129;0.1045;0.0289;0.0268;2.6038;10
NPL4;strong_dry;0.0169;0.1070;0.0336;0.0273;3.0272;10
NPL7;strong_rain;0.0170;0.0780;0.0370;0.0278;3.3275;4
NPL11;strong_rain;0.0147;0.0726;0.0456;0.0289;4.1062;4
NPL6;strong_dry;0.0116;0.1108;0.0291;0.0291;2.6148;10
KBPL3;strong_dry;0.0249;0.0680;0.0464;0.0305;4.1799;2
NPL2;strong_rain;0.0188;0.0928;0.0504;0.0313;4.5338;4
KBPL1;strong_dry;0.0140;0.0614;0.0377;0.0335;3.3933;2
KBPL7;strong_dry;0.0247;0.0723;0.0485;0.0337;4.3650;2
NPL5;strong_rain;0.0322;0.1052;0.0557;0.0344;5.0150;4
UPL1;weak_rain;0.0086;0.1284;0.0456;0.0360;4.1032;12
UPL9;weak_dry;0.0081;0.1455;0.0297;0.0395;2.6757;11
NPL12;strong_dry;0.0101;0.1218;0.0386;0.0400;3.4751;10
UPL8;weak_dry;0.0096;0.1533;0.0333;0.0412;2.9964;11
NPL1;weak_dry;0.0072;0.1694;0.0280;0.0450;2.5230;12
KBPL5;strong_dry;0.0280;0.0942;0.0611;0.0468;5.4985;2
NPL7;strong_dry;0.0128;0.1663;0.0323;0.0472;2.9107;10
NPL11;weak_rain;0.0151;0.1930;0.0399;0.0511;3.5886;11
NPL10;strong_rain;0.0192;0.2122;0.0814;0.0891;7.3239;4
KBPL1;weak_rain;0.0262;0.0262;0.0262;-9999.0000;2.3544;1
KBPL2;weak_rain;0.0292;0.0292;0.0292;-9999.0000;2.6251;1
KBPL3;weak_rain;0.0548;0.0548;0.0548;-9999.0000;4.9283;1
KBPL4;weak_rain;0.0231;0.0231;0.0231;-9999.0000;2.0746;1
KBPL5;weak_rain;0.0423;0.0423;0.0423;-9999.0000;3.8096;1
KBPL7;weak_rain;0.0150;0.0150;0.0150;-9999.0000;1.3467;1
KBPL8;weak_rain;0.0272;0.0272;0.0272;-9999.0000;2.4440;1
KBPL9;weak_rain;0.0212;0.0212;0.0212;-9999.0000;1.9124;1
