plotID;min_litter;max_litter;mean_litter;sd_litter;sum_litter;no
KBPL10;0.0072;0.0655;0.0295;0.0166;10.6359;29
KBPL11;0.0164;0.0747;0.0319;0.0130;11.4777;28
KBPL12;0.0118;0.0523;0.0273;0.0096;9.8446;28
KBPL14;0.0150;0.0525;0.0303;0.0105;10.9211;26
KBPL15;0.0159;0.0415;0.0251;0.0072;9.0321;26
KBPL16;0.0124;0.0597;0.0296;0.0115;10.6399;25
KBPL6;0.0146;0.0724;0.0359;0.0162;12.9095;28
NPL1;0.0072;0.1694;0.0268;0.0287;9.6422;37
NPL10;0.0096;0.2122;0.0387;0.0343;13.9369;37
NPL11;0.0085;0.1930;0.0314;0.0322;11.2932;37
NPL12;0.0101;0.1218;0.0287;0.0231;10.3281;37
NPL2;0.0079;0.0958;0.0338;0.0207;12.1588;37
NPL3;0.0114;0.1045;0.0347;0.0212;12.5004;37
NPL4;0.0106;0.1070;0.0268;0.0173;9.6511;37
NPL5;0.0121;0.1052;0.0376;0.0208;13.5181;37
NPL6;0.0043;0.1108;0.0256;0.0210;9.2307;37
NPL7;0.0070;0.1663;0.0303;0.0298;10.8975;37
NPL8;0.0082;0.0925;0.0262;0.0156;9.4417;37
NPL9;0.0086;0.0777;0.0321;0.0160;11.5737;37
UPL1;0.0086;0.1284;0.0295;0.0248;10.6226;35
UPL10;0.0043;0.0463;0.0191;0.0117;6.8912;35
UPL11;0.0068;0.0748;0.0236;0.0152;8.4781;35
UPL12;0.0066;0.0490;0.0207;0.0104;7.4477;35
UPL2;0.0048;0.0475;0.0192;0.0103;6.8972;35
UPL3;0.0086;0.0562;0.0234;0.0122;8.4400;35
UPL4;0.0073;0.0784;0.0258;0.0183;9.3054;35
UPL5;0.0058;0.0457;0.0190;0.0106;6.8507;35
UPL6;0.0043;0.0599;0.0212;0.0118;7.6327;35
UPL7;0.0063;0.0564;0.0208;0.0117;7.4854;35
UPL8;0.0051;0.1533;0.0228;0.0263;8.2038;35
UPL9;0.0048;0.1455;0.0192;0.0239;6.9069;35
