plotID;subplotID;sample_date;no_cores;layer;o_hor;fr_liv;fr_dead;cr_liv;cr_dead;dens_fr_liv;dens_fr_dead;dens_cr_liv;dens_cr_dead;;interval
KBPL11;C;03.12.2018;1;3;0;0;0;0;0;0;0;0;0;;86
KBPL11;C;14.06.2019;1;2;0;0;0;0;0;0;0;0;0;;90
KBPL1;B;07.09.2018;1;3;0;0;0.007;0;0;0;0.019;0;0;;0
KBPL6;A;14.06.2019;1;4;0;0;0.015;0;0;0;0.021;0;0;;90
KBPL11;B;14.06.2019;1;3;0;0;0;0;0;0;0;0;0;;90
KBPL4;D;03.12.2018;1;3;0;0;0;0.155;0;0;0;0.427;0;;86
KBPL12;B;19.12.2019;1;4;0;0;0.009;0.158;0;0;0.012;0.218;0;;90
NPL5;C;10.09.2018;1;1;0;0;0.15;0;0;0;0.413;0;0;;0
KBPL12;A;07.09.2018;1;3;0;0;0.012;0;0;0;0.033;0;0;;0
KBPL11;D;07.09.2018;1;2;0;0;0;0;0;0;0;0;0;;0
KBPL5;B;07.09.2018;1;2;0;0;0;24.45;0;0;0;67.358;0;;0
NPL11;C;20.12.2019;1;4;0;0;0;0;0;0;0;0;0;;85
NPL11;B;11.12.2018;1;3;0;0;0.007;0.034;0;0;0.019;0.094;0;;90
NPL5;D;10.09.2018;1;O;15;0;1.115;0.564;0;0;2.048;1.036;0;;0
NPL9;A;11.12.2018;1;4;0;0;0;0;0;0;0;0;0;;90
UPL10;D;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
KBPL13;B;14.06.2019;1;4;0;0;0;0;0;0;0;0;0;;90
KBPL10;D;03.12.2018;1;4;0;0;0;0;0;0;0;0;0;;86
KBPL11;D;03.12.2018;1;4;0;0;0;0;0;0;0;0;0;;86
KBPL12;D;18.09.2019;1;3;0;0;0;0;0;0;0;0;0;;94
KBPL14;D;13.03.2019;1;4;0;0;0;0;0;0;0;0;0;;100
KBPL9;C;03.12.2018;1;O;1;0;0;0;0;0;0;0;0;;86
KBPL11;C;18.09.2019;1;1;0;0;0.035;0.033;0;0;0.096;0.091;0;;94
KBPL11;B;14.06.2019;1;2;0;0;0;0;0;0;0;0;0;;90
NPL10;B;25.09.2019;1;4;0;0;0;0.241;0;0;0;0.332;0;;90
KBPL11;C;13.03.2019;1;2;0;0;0;0;0.053;0;0;0;0.146;;100
KBPL14;B;18.09.2019;1;3;0;0;0.057;0.036;0;0;0.157;0.099;0;;94
UPL11;A;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
UPL12;C;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
UPL11;B;10.07.2019;1;1;0;0;0;0;0;0;0;0;0;;108
UPL2;D;29.09.2019;1;4;0;0;0;0;0;0;0;0;0;;80
UPL1;D;29.09.2019;1;O;0;0;0;0;0;0;0;0;0;;80
UPL3;D;29.09.2019;1;4;0;0;0;0;0;0;0;0;0;;80
UPL8;B;29.09.2019;1;4;0;0;0;0;0;0;0;0;0;;80
UPL4;B;29.09.2019;1;O;0;0;0;0;0;0;0;0;0;;80
UPL5;D;29.09.2019;1;O;0;0;0;0;0;0;0;0;0;;80
UPL7;B;29.09.2019;1;O;0;0;0;0;0;0;0;0;0;;80
KBPL11;C;18.09.2019;1;4;0;0;0.005;0.032;0.023;0;0.007;0.044;0.032;;94
KBPL14;B;18.09.2019;1;4;0;0;0;0;0;0;0;0;0;;94
UPL8;C;29.09.2019;1;O;0;0;0;0;0;0;0;0;0;;80
KBPL10;D;18.09.2019;1;4;0;0;0;0;0.046;0;0;0;0.063;;94
NPL5;A;25.09.2019;1;4;0;0;0;5.184;0;0;0;7.141;0;;90
NPL2;B;25.09.2019;1;4;0;0;0;0.426;0;0;0;0.587;0;;90
NPL12;D;10.09.2018;1;1;0;0;0.033;0.149;0.213;0;0.091;0.41;0.587;;0
KBPL7;B;03.12.2018;1;2;0;0;0;0;0;0;0;0;0;;86
KBPL12;D;14.06.2019;1;2;0;0;0;0;0;0;0;0;0;;90
KBPL15;D;18.09.2019;1;4;0;0;0;0;0;0;0;0;0;;94
KBPL11;C;18.09.2019;1;2;0;0;0;0;0;0;0;0;0;;94
KBPL11;A;07.09.2018;1;4;0;0;0;0;0;0;0;0;0;;0
KBPL11;A;07.09.2018;1;3;0;0;0;0;0;0;0;0;0;;0
KBPL6;D;18.09.2019;1;2;0;0;0;0;0;0;0;0;0;;94
KBPL11;C;03.12.2018;1;4;0;0;0;0;0;0;0;0;0;;86
KBPL11;C;14.06.2019;1;3;0;0;0;0;0;0;0;0;0;;90
NPL7;B;25.09.2019;1;2;0;0;0;0.994;0;0;0;2.738;0;;90
NPL2;D;20.12.2019;1;2;0;0;0;0;0;0;0;0;0;;85
KBPL11;D;18.09.2019;1;3;0;0;0;0;0;0;0;0;0;;94
KBPL11;C;03.12.2018;1;2;0;0;0;0;0;0;0;0;0;;86
KBPL8;D;03.12.2018;1;3;0;0;0;0;0;0;0;0;0;;86
KBPL13;B;18.09.2019;1;4;0;0;0;0;0.155;0;0;0;0.214;;94
KBPL6;A;03.12.2018;1;3;0;0;0;0.076;0;0;0;0.209;0;;86
KBPL10;C;18.09.2019;1;3;0;0;0.011;0;0;0;0.03;0;0;;94
UPL11;C;17.12.2019;1;4;0;0;0;0;0;0;0;0;0;;77
NPL5;A;11.12.2018;1;3;0;0;0;2.095;0;0;0;5.772;0;;90
KBPL10;A;18.09.2019;1;4;0;0;0.004;0;0;0;0.006;0;0;;94
KBPL11;B;13.03.2019;1;2;0;0;0;0;0;0;0;0;0;;100
KBPL14;A;18.09.2019;1;4;0;0;0.015;0.481;0;0;0.021;0.663;0;;94
KBPL5;C;07.09.2018;1;3;0;0;0;0;0;0;0;0;0;;0
KBPL10;D;14.06.2019;1;O;4;0;0;0.152;0.054;0;0;1.047;0.372;;90
KBPL6;D;07.09.2018;1;4;0;0;0;0;0;0;0;0;0;;0
KBPL16;C;18.09.2019;1;3;0;0;0;0.39;0;0;0;1.074;0;;94
KBPL16;D;19.12.2019;1;4;0;0;0;0;0;0;0;0;0;;90
NPL6;B;10.09.2018;1;2;0;0;0.012;0;0.06;0;0.033;0;0.165;;0
NPL4;C;20.12.2019;1;2;0;0;0;3.792;0;0;0;10.447;0;;85
UPL11;D;29.09.2019;1;2;0;0;0;0;0;0;0;0;0;;80
KBPL10;D;14.06.2019;1;4;0;0;0;0;0;0;0;0;0;;90
KBPL12;D;07.09.2018;1;3;0;0;0.05;0;0;0;0.138;0;0;;0
KBPL7;B;03.12.2018;1;3;0;0;0;0.072;0;0;0;0.198;0;;86
KBPL12;D;03.12.2018;1;1;0;0;0.38;0.407;0;0;1.047;1.121;0;;86
NPL11;B;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
KBPL11;D;07.09.2018;1;3;0;0;0;0;0;0;0;0;0;;0
KBPL11;D;03.12.2018;1;3;0;0;0;0;0;0;0;0;0;;86
KBPL11;B;03.12.2018;1;3;0;0;0.016;0;0;0;0.044;0;0;;86
KBPL12;D;19.12.2019;1;4;0;0;0;0.15;0;0;0;0.207;0;;90
KBPL11;C;18.09.2019;1;3;0;0;0;0;0;0;0;0;0;;94
KBPL6;D;18.09.2019;1;3;0;0;0;31.37;0;0;0;86.423;0;;94
KBPL16;D;18.09.2019;1;4;0;0;0;0;0;0;0;0;0;;94
NPL6;D;20.12.2019;1;2;0;0;0;0.677;0;0;0;1.865;0;;85
NPL1;B;24.06.2019;1;3;0;0;0;0.156;0;0;0;0.43;0;;98
KBPL11;C;13.03.2019;1;3;0;0;0.009;0;0;0;0.025;0;0;;100
KBPL11;B;03.12.2018;1;4;0;0;0;0;0;0;0;0;0;;86
UPL6;D;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
UPL5;C;17.12.2019;1;4;0;0;0;0;0;0;0;0;0;;77
UPL1;D;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL2;C;16.03.2019;1;2;0;0;0;0;0;0;0;0;0;;95
NPL7;B;24.06.2019;1;2;0;0;0;0;0.263;0;0;0;0.725;;98
NPL11;B;10.09.2018;1;2;0;0;0.08;0;0.35;0;0.22;0;0.964;;0
NPL4;A;25.09.2019;1;2;0;0;0;0.08;0;0;0;0.22;0;;90
NPL3;D;10.09.2018;1;1;0;0;0.09;0.52;0.09;0;0.248;1.433;0.248;;0
NPL10;B;24.06.2019;1;4;0;0;0;0;0;0;0;0;0;;98
NPL11;A;25.09.2019;1;4;0;0;0.047;0;0.604;0;0.065;0;0.832;;90
UPL9;B;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
NPL12;B;25.09.2019;1;4;0;0;0;0;0;0;0;0;0;;90
KBPL13;A;19.12.2019;1;1;0;0;0;0.122;0;0;0;0.336;0;;90
UPL11;C;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL4;C;24.06.2019;1;3;0;0;0.05;0;0;0;0.138;0;0;;98
NPL5;B;10.09.2018;1;3;0;0;0.13;0;0;0;0.358;0;0;;0
NPL11;D;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
