plotID;season;layer;o_hor;min_fr_liv;max_fr_liv;mean_fr_liv;sd_fr_liv;min_fr_dead;max_fr_dead;mean_fr_dead;sd_fr_dead;min_cr_liv;max_cr_liv;mean_cr_liv;sd_cr_liv;min_cr_dead;max_cr_dead;mean_cr_dead;sd_cr_dead;no
KBPL1;strong_dry;1;0.0000;0.6170;1.7740;1.0610;0.5170;0.0410;0.3060;0.1490;0.1120;0.0000;2.1190;0.7980;0.9620;0.0000;0.8730;0.2520;0.0000;4
KBPL1;strong_dry;2;0.0000;0.0410;1.3200;0.5510;0.5430;0.0000;0.1240;0.0450;0.0540;0.0000;0.4680;0.1740;0.2240;0.0000;0.0000;0.0000;0.0000;4
KBPL1;strong_dry;3;0.0000;0.0000;0.3310;0.1320;0.1600;0.0000;0.0740;0.0270;0.0330;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4
KBPL1;strong_dry;O;4.5000;0.9850;6.4530;2.6960;2.5570;0.0660;0.8880;0.3470;0.3790;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4
KBPL1;weak_rain;1;0.0000;0.4270;0.8510;0.6560;0.1760;0.0580;0.2420;0.1390;0.0790;0.0000;8.8160;3.0750;3.9370;0.0000;0.0000;0.0000;0.0000;4
KBPL1;weak_rain;2;0.0000;0.0410;0.2640;0.1710;0.1000;0.0000;0.5150;0.1350;0.2540;0.3000;3.9890;1.5510;1.7310;0.0000;0.0580;0.0140;0.0000;4
KBPL1;weak_rain;3;0.0000;0.0740;0.2290;0.1230;0.0710;0.0000;0.1100;0.0400;0.0520;0.0000;0.4050;0.1010;0.2020;0.0000;0.0000;0.0000;0.0000;4
KBPL1;weak_rain;4;0.0000;0.0290;0.1930;0.0810;0.0760;0.0000;0.0320;0.0150;0.0180;0.0000;0.3790;0.1170;0.1800;0.0000;0.0000;0.0000;0.0000;4
KBPL1;weak_rain;O;4.5000;1.8110;8.3970;4.7240;2.8560;0.1930;2.2260;0.7610;0.9810;0.0000;4.6720;1.4140;2.2210;0.0000;0.0000;0.0000;0.0000;4
KBPL10;strong_dry;1;0.0000;0.1270;0.7800;0.4500;0.2070;0.0000;0.1650;0.0570;0.0690;0.0000;18.0720;5.0250;7.2980;0.0000;0.0000;0.0000;0.0000;8
