sampleID;MEAN_n_bulk;No_n_bulk;SD_n_bulk;MEAN_n_cPOM;No_n_cPOM;SD_n_cPOM;MEAN_n_m;No_n_m;SD_n_m;MEAN_n_s+c;No_n_s+c;SD_n_s+c;MEAN_c_bulk;No_c_bulk;SD_c_bulk;MEAN_c_cPOM;No_c_cPOM;SD_c_cPOM;MEAN_c_m;No_c_m;SD_c_m;MEAN_c_s+c;No_c_s+c;SD_c_s+c;MEAN_weight_bulk;No_weight_bulk;SD_weight_bulk;MEAN_weight_cPOM;No_weight_cPOM;SD_weight_cPOM;MEAN_weight_m;No_weight_m;SD_weight_m;MEAN_weight_s+c;No_weight_s+c;SD_weight_s+c
NPL6C10;0.03394;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.45182;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
UPL5C10;0.06088;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.48983;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
UPL4C10;0.07082;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.54888;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
NPL3C10;0.05345;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.79065;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
KBPL3C10;0.11403;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.94792;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
NPL2C10;0.07179;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.95633;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
KBPL7C10;0.10658;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;1.00133;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
NPL8C10;0.08886;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;1.14293;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
NPL5C10;0.03563;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;1.23743;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
NPL1C10;0.09506;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;1.33376;1;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
