sampleID;clay;silt;sand;BD_m_soil;WHC;pH_KCl;P_avail;exch_acidity_Al;exch_acidity_H;exch_bases_Na;exch_bases_K;exch_bases_Ca;exch_bases_Mg;ECEC;bases_in_ECEC;CEC;bases_in_CEC;mean_Ca_bulk_OES;sd_Ca_bulk_ICPOES;no_Ca_bulk_ICPOES;mean_Ca_agg_ICPOES;sd_Ca_agg_ICPOES;no_Ca_agg_ICPOES ;mean_Ca_s+c_ICPOES;sd_Ca_s+c_ICPOES;no_Ca_s+c_ICPOES;mean_Cu_bulk_ICPOES;sd_Cu_bulk_ICPOES;no_Cu_bulk_ICPOES;mean_Cu_agg_ICPOES;sd_Cu_agg_ICPOES;no_Cu_agg_ICPOES;mean_Cu_s+c_ICPOES;sd_Cu_s+c_ICPOES;no_Cu_s+c_ICPOES;mean_K_bulk_ICPOES;sd_K_bulk_ICPOES;no_K_bulk_ICPOES;mean_K_agg_ICPOES;sd_K_agg_ICPOES;no_K_agg_ICPOES;mean_K_s+c_ICPOES;sd_K_s+c_ICPOES;no_K_s+c_ICPOES;mean_Mg_bulk_ICPOES;sd_Mg_bulk_ICPOES;no_Mg_bulk_ICPOES;mean_Mg_agg_ICPOES;sd_Mg_agg_ICPOES;no_Mg_agg_ICPOES;mean_Mg_s+c_ICPOES;sd_Mg_s+c_ICPOES;no_Mg_s+c_ICPOES;mean_Na_bulk_ICPOES;sd_Na_bulk_ICPOES;no_Na_bulk_ICPOES;mean_Na_agg_ICPOES;sd_Na_agg_ICPOES;no_Na_agg_ICPOES;mean_Na_s+c_ICPOES;sd_Na_s+c_ICPOES;no_Na_s+_ICPOES;mean_P_bulk_ICPOES;sd_P_bulk_ICPOES;no_P_bulk_ICPOES;mean_P_agg_ICPOES;sd_P_agg_ICPOES;no_P_agg_ICPOES;mean_P_s+c_ICPOES;sd_P_s+_ICPOES;no_P_s+_ICPOES;mean_Ti_bulk_ICPOES;sd_Ti_bulk_ICPOES;no_Ti_bulk_ICPOES;mean_Ti_agg_ICPOES;sd_Ti_agg_ICPOES;no_Ti_agg_ICPOES;mean_Ti_s+c_ICPOES;sd_Ti_s+c_bulk_ICPOES;no_Ti_s+c_bulk_ICPOES;mean_Zn_bulk_ICPOES;sd_n_bulk_ICPOES;no_Zn_bulk_ICPOES;mean_Zn_agg_ICPOES;sd_Zn_agg_ICPOES;no_Zn_agg_ICPOES;mean_Zn_s+c_ICPOES;sd_Zn_s+c_ICPOES;no_Zn_s+c_ICPOES;mean_Al_bulk_ICPOES;sd_Al_bulk_ICPOES;no_Al_bulk_ICPOES;mean_Al_agg_ICPOES;sd_Al_agg_ICPOES;no_Al_agg_ICPOES;mean_Al_s+c_ICPOES;sd_Al_s+c_ICPOES;no_Al_s+c_ICPOES;mean_Fe_bulk_ICPOES;sd_Fe_bulk_ICPOES;no_Fe_bulk_ICPOES;mean_Fe_agg_ICPOES;sd_Fe_agg_ICPOES;no_Fe_agg_ICPOES;mean_Fe_s+c_ICPOES;sd_Fe_s+c_ICPOES;no_Fe_s+c_ICPOES;mean_Mn_bulk_ICPOES;sd_Mn_bulk_ICPOES;no_Mn_bulk_ICPOES;mean_Mn_agg_ICPOES;sd_Mn_agg_ICPOES;no_Mn_agg_ICPOES;mean_Mn_s+c_ICPOES;sd_Mn_s+c_ICPOES;no_Mn_s+c_ICPOES;Na_XRF;Mg_XRF;Al_XRF;Si_XRF;P_XRF;S_XRF;Cl_XRF;K_XRF;Ca_XRF;Sc_XRF;Ti_XRF;Cr_XRF;Mn_XRF;Fe_XRF;Co_XRF;Ni_XRF;Cu_XRF;Zn_XRF;As_XRF;Se_XRF;Br_XRF;Rb_XRF;Sr_XRF;Y_XRF;Zr_XRF;Mo_XRF;Ag_XRF;Cd_XRF;In_XRF;Sn_XRF;Sb_XRF;Te_XRF;I_XRF;Cs_XRF;Ba_XRF;La_XRF;Ce_XRF;Pr_XRF;Nd_XRF;Hf_XRF;Ta_XRF;W_XRF;Au_XRF;Hg_XRF;Tl_XRF;Pb_XRF;Bi_XRF;Th_XRF;U_XRF;mean_Al_py_extract;sd_Al_py_extract;no_Al_py_extract;mean_Al_ox_extract;sd_Al_ox_extract;no_Al_ox_extract;mean_Al_dcb_extract;sd_Al_dcb_extrac;no_Al_dcb_extract;mean_Fe_py_extract;sd_Fe_py_extract;no_Fe_py_extract;mean_Fe_ox_extract;sd_Fe_ox_extract;no_Fe_ox_extract;mean_Fe_dcb_extract;sd_Fe_dcb_extract;no_Fe_dcb_extract;mean_Mn_py_extract;sd_Mn_py_extract;no_Mn_py_extract;mean_Mn_ox_extract;sd_Mn_ox_extract;no_Mn_ox_extract;mean_Mn_dcb_extract;sd_Mn_dcb_extract;no_Mn_dcb_extract
KBPL10C1;46.88;14;39.12;0.822;0.44;5.4;32.78;0;0.758;0.043;0.793;24.251;7.359;33.206;97.716;50.574;64.158;0.79644231;-9999;1;0.77862745;-9999;1;0.76252525;-9999;1;0.00728365;-9999;1;0.00713235;-9999;1;0.00712121;-9999;1;0.13875;-9999;1;0.12112745;-9999;1;0.14530303;-9999;1;0.3675;-9999;1;0.40166667;-9999;1;0.35848485;-9999;1;0.04394231;-9999;1;0.04676471;-9999;1;0.05520202;-9999;1;0.21846154;-9999;1;0.26490196;-9999;1;0.22674242;-9999;1;0.2521875;-9999;1;0.29637255;-9999;1;0.27684343;-9999;1;0.01778846;-9999;1;0.01943627;-9999;1;0.01962121;-9999;1;6.50894231;-9999;1;6.55590686;-9999;1;6.50255051;-9999;1;8.90480769;-9999;1;8.55477941;-9999;1;8.63308081;-9999;1;0.38060096;-9999;1;0.39235294;-9999;1;0.39305556;-9999;1;0.01;0.1;8.252;11.1;0.35;1207;63.7;0.611;0.93;0.003;0.945;183.8;0.328;9.09;41.5;114.6;66.2;210.9;12.9;0.6;38.9;78.9;130.7;28.5;281.6;1.5;0.5;0.3;0.4;2.8;0.5;0.5;18.3;1;1018;81.8;174.4;2.8;5.1;5.3;1.6;1.2;0.5;0.7;0.7;36.2;0.5;16.3;0.6;0.2263;-9999;1;0.6845;-9999;1;0.8346;-9999;1;0.3019;-9999;1;2.3622;-9999;1;3.9747;-9999;1;0.1316;-9999;1;0.19493;-9999;1;0.0734;-9999;1
KBPL10C10;56.88;16;27.12;1.245;0.52;4.53;28.34;0;1.138;0.043;0.205;3.683;3.226;8.294;86.284;30.34;23.587;0.06752381;-9999;1;0.10668317;-9999;1;0.09594059;-9999;1;0.00764286;-9999;1;0.00799505;-9999;1;0.00732673;-9999;1;0.11642857;-9999;1;0.11891089;-9999;1;0.10930693;-9999;1;0.27338095;-9999;1;0.29024752;-9999;1;0.25633663;-9999;1;0.02233333;-9999;1;0.02410891;-9999;1;0.02524752;-9999;1;0.26747619;-9999;1;0.33287129;-9999;1;0.29165842;-9999;1;0.41954762;-9999;1;0.53316832;-9999;1;0.47438119;-9999;1;0.01042857;-9999;1;0.01220297;-9999;1;0.01121287;-9999;1;8.901;-9999;1;8.54200495;-9999;1;8.45992574;-9999;1;11.1537619;-9999;1;10.56705446;-9999;1;10.9730198;-9999;1;0.2562619;-9999;1;0.2570297;-9999;1;0.22957921;-9999;1;0.01;0.002;10.83;13.58;0.34;300.3;14.9;0.629;0.104;0.003;1.142;186.6;0.226;11.26;42.2;137;66;128.3;17.2;0.5;10;72;55;26.7;323.7;3.9;0.5;0.3;0.5;2.8;0.5;0.5;14.4;1;655.4;75.1;208.4;4;5.1;8.6;1.6;1.2;0.5;0.7;0.7;31.1;0.5;16.8;0.4;0.13473;-9999;1;0.65255;-9999;1;3.81004;-9999;1;0.04725;-9999;1;3.53914;-9999;1;7.17154;-9999;1;0.0016;-9999;1;0.14618;-9999;1;0.10704;-9999;1
KBPL10C2;-9999;-9999;-9999;1.091;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
KBPL10C3;-9999;-9999;-9999;1.093;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
KBPL10C4;60.88;16;23.12;1.17;0.52;4.64;10.83;0;1.138;0.043;0.384;7.505;3.785;12.855;91.15;40.068;29.243;0.20848039;0.01502937;3;0.21413265;-9999;1;0.20573529;-9999;1;0.00798203;0.00014361;3;0.0082398;-9999;1;0.0072549;-9999;1;0.13426471;0.00237593;3;0.13520408;-9999;1;0.12720588;-9999;1;0.34545752;0.00889329;3;0.35056122;-9999;1;0.30191176;-9999;1;0.02916667;0.00203771;3;0.03454082;-9999;1;0.03553922;-9999;1;0.19818627;0.00645069;3;0.24413265;-9999;1;0.18585784;-9999;1;0.41708333;0.01019829;3;0.51903061;-9999;1;0.38414216;-9999;1;0.01503268;0.00067227;3;0.01594388;-9999;1;0.01507353;-9999;1;7.20668301;1.39258543;3;8.66686224;-9999;1;7.87110294;-9999;1;10.48735294;0.25476535;3;10.82068878;-9999;1;10.165;-9999;1;0.38033497;0.01309159;3;0.4069898;-9999;1;0.36051471;-9999;1;0.01;0.002;9.296;12;0.274;596.3;23.8;0.629;0.242;0.003;1.103;183.7;0.316;10.58;44.7;136.7;74.1;161.7;14.3;0.5;28.9;80.5;67.3;28.5;329.2;3.6;0.5;0.3;0.5;3.7;0.5;0.5;28.9;1;838.1;90.6;219.8;4.7;5.1;5.9;1.6;1.2;0.5;0.7;0.7;44.9;0.5;15.4;0.4;0.2493;-9999;1;0.83815;-9999;1;2.06647;-9999;1;0.43805;-9999;1;3.0992;-9999;1;4.59548;-9999;1;0.01074;-9999;1;0.23497;-9999;1;0.09829;-9999;1
KBPL10C5;-9999;-9999;-9999;1.222;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
KBPL10C6;-9999;-9999;-9999;1.212;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
KBPL10C7;-9999;-9999;-9999;1.203;0.55;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;0.11803922;-9999;1;0.1453;-9999;1;0.16285;-9999;1;0.00821078;-9999;1;0.008125;-9999;1;0.00795;-9999;1;0.13411765;-9999;1;0.1216;-9999;1;0.12505;-9999;1;0.29137255;-9999;1;0.29765;-9999;1;0.286;-9999;1;0.03112745;-9999;1;0.0328;-9999;1;0.0414;-9999;1;0.25769608;-9999;1;0.2838;-9999;1;0.233875;-9999;1;0.45894608;-9999;1;0.5168;-9999;1;0.437675;-9999;1;0.0120098;-9999;1;0.013225;-9999;1;0.013175;-9999;1;9.3747549;-9999;1;8.990575;-9999;1;8.697775;-9999;1;11.0627451;-9999;1;10.816375;-9999;1;10.5825;-9999;1;0.26404412;-9999;1;0.28345;-9999;1;0.254425;-9999;1;0.01;0.016;10.46;12.97;0.308;386.1;33.4;0.605;0.144;0.003;1.126;191.2;0.222;10.88;40.6;142;78.5;140.1;15.5;0.5;16.2;75.4;58;23.8;325.7;5.1;0.5;0.3;0.5;2.5;0.5;0.5;18.4;1;780.9;74.5;196.5;4;5.1;3.6;1.6;1.2;0.5;0.7;0.7;38.2;0.5;14.5;0.4;0.1756;-9999;1;0.68695;-9999;1;3.82125;-9999;1;0.08544;-9999;1;3.45592;-9999;1;6.86037;-9999;1;0.00422;-9999;1;0.14712;-9999;1;0.10626;-9999;1
KBPL10C8;-9999;-9999;-9999;1.217;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
KBPL10C9;-9999;-9999;-9999;1.231;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
