plotID;sampleID;BD_spec;clay_spec;silt_spec;sand_spec;pH_KCL_spec;TC_bulk_spec;TN_bulk_spec;CN_spec;P_avail_spec;bases_in_CEC_spec;CEC_spec;bases_in_ECEC_spec;ECEC_spec;exch_bases_Mg_spec;exch_bases_Ca_spec;exch_bases_K_spec;exch_acidity_Al_spec;Al_py_extract_spec;Al_ox_extract_spec;Al_dcb_extract_spec;Fe_py_extract_spec;Fe_ox_extract_spec;Fe_dcb_extract_spec;Mn_py_extract_spec;Mn_ox_extract_spec;Mn_dcb_extract_spec;Ca_ICPOES_spec;K_ICPOES_spec;Mg_ICPOES_spec;Na_ICPOES_spec;P_ICPOES_spec;Ti_ICPOES_spec;AL_ICPOES_spec;Fe_ICPOES_spec;Mn_ICPOES_spec;Si_XRF_spec;S_XRF_spec;Zr_XRF_spec;Ti_XRF_spec;TI_ZR_ratio_spec;clay_SI_ratio_spec;Fe_tot_Fe_dcb_ratio_spec;delta_14C_CO2_spec;delta_14C_soil_spec;FMC_CO2_spec;FMC_soil_spec;Cmass_CPOM_spec;Cmass_m_spec;Cmass_s+c_spec;Cconc_bulk_spec;Cconc_CPOM_spec;Cconc_m_spec;Cconc_s+c_spec;Nmass_CPOM_spec;Nmass_m_spec;Nmass_s+c_spec;Nconc_bulk_spec;Nconc_CPOM_spec;Nconc_m_spec;Nconc_s+c_spec
KBPL1;KBPL1C9;1.36007;56.91991;30.34338;12.33735;3.8276;1.5133;0.16181;3.02819;-3.92132;5.7117;28.23579;41.7254;6.03062;0.88627;1.18374;0.16726;2.58986;0.20703;0.43306;4.14271;0.13236;1.59971;8.02839;0.00133;0.10561;0.09992;0.08604;0.07522;0.20987;0.02738;0.191897055;0.55529;8.52594;10.45191;0.22996;12.71004;521.34724;408.03561;1.39669;0.00346;4.57002;1.46189;-78.60044;-259.54104;0.92915;0.74673;-0.01;0.64;0.51;1.5;3.08;1.57;1.31;0;0.56;0.56;0.15;0.13;0.16;0.13
KBPL1;KBPL1C8;1.31912;61.27387;27.25624;11.82238;3.69023;1.55678;0.18466;-1.6038;-6.03353;1.66936;29.29862;33.55362;5.5557;0.74551;0.34862;0.16157;3.02819;0.23008;0.44701;4.27013;0.20037;1.82822;8.31147;0.00105;0.09082;0.09387;0.08986;0.07763;0.22687;0.0236;0.201710625;0.58518;9.29162;11.4645;0.21621;11.71743;550.072;421.24718;1.39873;0.00345;4.69739;1.49061;-57.95056;-254.16065;0.94996;0.75216;-0.01;0.7;0.51;1.54;3.27;1.49;1.25;0;0.57;0.52;0.17;0.14;0.17;0.15
KBPL1;KBPL1PC10;1.37433;56.14259;30.40478;12.26315;3.78634;1.44768;0.15149;7.04078;-1.20806;7.09852;26.64191;39.78381;5.73266;0.71782;0.62226;0.14754;2.77984;0.22078;0.40703;3.66521;0.24952;1.78191;7.24162;-0.0035;0.09358;0.07647;0.09519;0.08265;0.2134;0.02382;0.217248479;0.51888;8.11938;10.0559;0.19709;12.74243;507.91751;444.4869;1.29563;0.003;4.18749;1.57246;-69.63272;-329.49611;0.93817;0.6762;0;0.69;0.51;1.39;2.82;1.37;1.3;0;0.62;0.49;0.14;0.12;0.15;0.14
KBPL1;KBPL1PC6;1.31373;61.7783;26.76557;12.18559;3.82436;1.95823;0.20728;5.84734;-14.69027;8.6428;28.79085;37.24799;6.7751;0.86381;1.41635;0.18488;2.96064;0.23056;0.43666;3.97821;0.24134;1.8148;7.65015;0.00472;0.09922;0.08605;0.10483;0.08154;0.22343;0.02365;0.195805027;0.52181;8.69176;11.52265;0.21668;12.305;548.27077;434.40144;1.32638;0.00335;4.38533;1.55905;-46.35673;-258.56623;0.96163;0.74772;0;0.65;0.49;1.96;3.11;2.02;1.76;0;0.6;0.5;0.2;0.13;0.22;0.19
KBPL1;KBPL1C10;1.37485;57.8699;29.4075;12.04863;3.78635;1.32729;0.15238;0.39416;-14.27755;7.11711;27.40489;43.37742;6.13852;0.81913;0.98373;0.18096;2.66031;0.19618;0.42749;4.40822;0.12704;1.6036;8.08463;0.00262;0.10884;0.10575;0.09151;0.07867;0.20788;0.02698;0.189948613;0.569;8.39768;10.563;0.23409;13.00216;503.79825;430.62676;1.44119;0.00349;4.44616;1.47954;-71.06339;-252.61412;0.93675;0.75372;0;0.63;0.5;1.36;2.83;1.37;1.12;0;0.55;0.55;0.14;0.12;0.14;0.12
KBPL1;KBPL1C7;1.33828;61.52436;24.93283;12.61893;3.79648;1.54147;0.16831;4.12216;5.18051;6.84997;28.1029;36.95435;6.7779;0.80293;1.19128;0.18486;3.02441;0.21067;0.41661;4.07276;0.20238;1.74677;7.90149;0.00286;0.07939;0.09008;0.08989;0.07956;0.21292;0.03082;0.188175676;0.5631;8.85131;10.963;0.18051;12.07741;511.59949;426.8234;1.34302;0.00341;4.43554;1.50271;-54.3913;-262.70443;0.95355;0.74355;0;0.59;0.57;1.42;2.87;1.4;1.35;0;0.5;0.57;0.15;0.12;0.15;0.17
KBPL1;KBPL1C6;1.2854;57.50312;29.17192;13.00747;3.78574;2.01972;0.19522;5.20261;-1.18338;7.24741;29.5113;37.39701;6.85167;0.9577;1.53237;0.1867;3.03757;0.22785;0.42669;3.96205;0.19425;1.64147;7.95167;0.00554;0.08852;0.09332;0.09443;0.0788;0.21959;0.02367;0.177952632;0.55979;8.58029;10.64936;0.21244;12.27365;579.00104;401.59365;1.39753;0.00345;4.45777;1.52363;-54.45729;-216.87494;0.9535;0.78977;0.01;0.59;0.51;1.97;3.51;2.01;1.91;0.01;0.55;0.56;0.18;0.15;0.19;0.19
KBPL1;KBPL1C5;1.31936;59.11662;28.99189;11.85611;3.80126;1.95694;0.21439;-2.46315;-12.29404;5.52613;28.70711;36.29389;6.7256;0.83573;1.36307;0.1869;2.81174;0.24102;0.43431;4.35628;0.2355;1.66413;7.58869;0.00582;0.09495;0.10939;0.09328;0.07725;0.21522;0.02563;0.173243778;0.56461;8.47436;11.17887;0.21223;11.92109;566.50577;408.27484;1.34061;0.00326;4.34172;1.50681;-51.22394;-217.75059;0.95674;0.78887;0.02;0.67;0.48;1.96;3.24;2.04;1.78;0.01;0.59;0.54;0.21;0.14;0.22;0.2
KBPL1;KBPL1C2;1.10241;55.32651;31.14689;12.43874;3.64973;3.93125;0.37431;7.34896;-7.37095;5.58055;33.14492;32.22988;9.16896;1.00307;2.42341;0.18046;3.85947;0.28301;0.42827;2.67862;0.30094;1.64571;7.71723;0.00877;0.06926;0.0572;0.06595;0.06628;0.19981;0.01893;0.148943491;0.49217;8.34418;10.33947;0.19448;10.94068;736.5933;364.28532;1.28672;0.00313;4.34038;1.42538;5.86653;-129.15367;1.01432;0.87824;0.02;0.57;0.4;4.04;5.32;4.3;4;0.01;0.55;0.41;0.37;0.23;0.39;0.41
KBPL1;KBPL1C4;1.27951;57.19494;25.99247;15.43034;3.65472;2.33012;0.23972;3.7073;-2.36643;7.74664;29.8998;39.56959;7.2469;1.05843;1.01303;0.22057;3.41158;0.21603;0.43584;3.71991;0.15066;1.37909;8.28329;0.01594;0.11887;0.10216;0.05926;0.06091;0.16154;0.02791;0.123254155;0.51003;7.91438;10.9299;0.20247;12.51595;597.62873;368.65735;1.37366;0.00346;4.331;1.29551;-44.90764;-143.63528;0.96313;0.86363;0.03;0.45;0.54;2.36;4.17;2.31;2.07;0.01;0.43;0.52;0.22;0.17;0.21;0.21
