sampleID;BD_O;N_mean;N_sd;N_no;C_mean;C_sd;C_no
UPL11CompO;0.09;0.69;-9999;1;7.47;-9999;1
UPL7PO;0.1;0.78;0.007;2;11.62;0.047;2
UPL6CompO;0.1;0.99;-9999;1;13.55;-9999;1
UPL10CompO;0.09;1.02;-9999;1;13.33;-9999;1
UPL3CompO;0.1;1.18;-9999;1;12.95;-9999;1
UPL8CompO;0.1;1.34;-9999;1;17.6;-9999;1
UPL5CompO;0.1;1.4;-9999;1;19.93;-9999;1
UPL4CompO;0.1;1.42;-9999;1;20.48;-9999;1
UPL13-3O;-9999;1.43;-9999;1;15.17;-9999;1
UPL11PO;0.09;1.52;-9999;1;21.14;-9999;1
KBPL1O;0.1;1.56;-9999;1;17.51;-9999;1
UPL12CompO;0.1;1.64;-9999;1;27.67;-9999;1
KBPL9CO;0.12;1.68;0.012;3;22.06;0.218;3
UPL1CompO;0.11;1.69;-9999;1;22.23;-9999;1
NPL1PO;0.14;1.86;-9999;1;38.87;-9999;1
KBPL8PO;0.13;1.89;0.059;3;25.44;1.056;3
UPL9CompO;0.1;1.88;0.022;3;31.26;0.214;3
KBPL11O;0.11;1.88;0.02;3;22.69;0.058;3
UPL2CompO;0.11;1.93;-9999;1;25.64;-9999;1
NPL11PO;0.08;1.96;-9999;1;42.51;-9999;1
NPL12CompO;0.11;2.07;-9999;1;38.86;-9999;1
NPL3CompO;0.08;2.12;0.008;3;41.47;0.012;3
KBPL6O;0.07;2.13;-9999;1;27.9;-9999;1
NPL9CompO;0.09;2.12;0.025;2;39.39;0.02;2
NPL1CompO;0.14;2.14;-9999;1;43.02;-9999;1
NPL10CompO;0.08;2.14;-9999;1;43.33;-9999;1
NPL11O;0.08;2.15;-9999;1;42.51;-9999;1
KBPL4O;0.11;2.16;0.004;3;29.85;0.14;3
KBPL8CO;-9999;2.19;-9999;1;27.49;-9999;1
NPL5CompO;0.09;2.18;0.007;3;45.48;0.053;3
NPL2CompO;0.11;1.69;0.482;3;27.18;12.41;3
NPL4CompO;0.11;2.28;-9999;1;45.82;-9999;1
NPL6CompO;0.1;2.3;-9999;1;44;-9999;1
NPL7CompO;0.14;2.31;-9999;1;46;-9999;1
KBPL3CompO;0.1;2.31;-9999;1;41.52;-9999;1
NPL7PO;0.14;2.36;0.043;3;38.05;0.552;3
KBPL12O;0.06;2.38;-9999;1;33.03;-9999;1
KBPL5O;0.11;2.43;-9999;1;32.52;-9999;1
KBPL10PO;0.09;2.49;-9999;1;31.78;-9999;1
NPL8CompO;0.1;2.52;-9999;1;42.9;-9999;1
KBPL2CompO;0.1;2.54;-9999;1;41.43;-9999;1
NPL4PO;0.11;2.59;-9999;1;45.71;-9999;1
KBPL1PO;0.1;2.63;-9999;1;37.87;-9999;1
KBPL4PO;0.11;2.71;-9999;1;32.36;-9999;1
KBPL7O;0.16;2.76;-9999;1;33.65;-9999;1
KBPL1CompO;0.1;2.83;-9999;1;40.06;-9999;1
KBPL10O;0.09;3;-9999;1;36.88;-9999;1
KBPL13O;0.06;-9999;-9999;-9999;-9999;-9999;-9999
KBPL14O;0.08;-9999;-9999;-9999;-9999;-9999;-9999
KBPL15O;0.08;-9999;-9999;-9999;-9999;-9999;-9999
KBPL16O;0.1;-9999;-9999;-9999;-9999;-9999;-9999
