plotID;sampleID;sample_date;Pu_mean;Pu_sd;dect_limit;BD_m_soil;BD_O;BD_L
KBPL1;KBPL1.1L_Pu;05.05.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL1;KBPL1.2L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL1;KBPL1.3L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL1;KBPL1.4L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL1;KBPL1.2O_Pu;24.04.2018;0.02066;0.003;0;-9999;0.1;-9999
KBPL1;KBPL1.3O_Pu;24.04.2018;0.03768;0.00332;0;-9999;0.1;-9999
KBPL1;KBPL1.4O_Pu;24.04.2018;0.04191;0.0027;0;-9999;0.1;-9999
KBPL1;KBPL1.1O_Pu;24.04.2018;0.044;0.00363;0;-9999;0.1;-9999
KBPL1;KBPL1.4M_Pu;24.04.2018;-9999;-9999;1;1.11;-9999;-9999
KBPL1;KBPL1.2M_Pu;24.04.2018;0.04507;0.00614;0;1.11;-9999;-9999
KBPL1;KBPL1.3M_Pu;24.04.2018;0.0511;0.00812;0;1.11;-9999;-9999
KBPL1;KBPL1.1M_Pu;24.04.2018;0.06219;0.02087;0;1.11;-9999;-9999
KBPL10;KBPL10Comp_L_Pu;29.04.2018;-9999;-9999;1;-9999;-9999;0.04
KBPL10;KBPL10Comp_O_Pu;29.04.2018;0.01909;0.00244;0;-9999;0.09;-9999
KBPL10;KBPL10Comp_M2Pu;29.04.2018;-9999;-9999;1;1.19;-9999;-9999
KBPL10;KBPL10Comp_M1Pu;29.04.2018;0.04279;0.00696;0;1.12;-9999;-9999
KBPL11;KBPL11Comp_L_Pu;29.04.2018;-9999;-9999;1;-9999;-9999;0.04
KBPL11;KBPL11Comp_O_Pu;29.04.2018;0.01787;0.00187;0;-9999;0.11;-9999
KBPL11;KBPL11Comp_M1Pu;29.04.2018;-9999;-9999;1;1.09;-9999;-9999
KBPL11;KBPL11Comp_M2Pu;29.04.2018;-9999;-9999;1;1.17;-9999;-9999
KBPL12;KBPL12Comp_L_Pu;29.04.2018;0.02869;0.00369;0;-9999;-9999;0.04
KBPL12;KBPL12Comp_O_Pu;29.04.2018;0.0291;0.00089;0;-9999;0.06;-9999
KBPL12;KBPL12Comp_M2Pu;29.04.2018;-9999;-9999;1;1.18;-9999;-9999
KBPL12;KBPL12Comp_M1Pu;29.04.2018;0.02794;0.01202;0;1.06;-9999;-9999
KBPL2;KBPL2.5L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL2;KBPL2.6L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL2;KBPL2.7L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL2;KBPL2.7O_Pu;24.04.2018;0.01229;0.00323;0;-9999;0.1;-9999
KBPL2;KBPL2.6O_Pu;24.04.2018;0.01619;0.0015;0;-9999;0.1;-9999
KBPL2;KBPL2.5O_Pu;24.04.2018;0.0185;0.00331;0;-9999;0.1;-9999
KBPL2;KBPL2.5M_Pu;24.04.2018;0.05395;0.00507;0;1.11;-9999;-9999
KBPL2;KBPL2.7M_Pu;24.04.2018;0.05709;0.01762;0;1.11;-9999;-9999
KBPL2;KBPL2.6M_Pu;24.04.2018;0.07036;0.01148;0;1.11;-9999;-9999
KBPL3;KBPL3.10L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
KBPL3;KBPL3.8L_Pu;24.04.2018;-9999;-9999;1;-9999;-9999;0.08
