sampleID;sample_weight;n;incubation;pre-incubation;C-CO2_SOC;C-CO2_soil;RSD
KBPL10C1;50;13;120;4;4.54000;0.39000;-9999
KBPL10C4;50;12;120;4;2.72000;0.08000;45.00000
KBPL10C7;50;9;120;4;3.27000;0.06000;-9999
KBPL11C1;50;13;120;4;7.77000;0.64000;-9999
KBPL11C4;50;12;120;4;1.08000;0.05000;-9999
KBPL11C7;50;9;120;4;2.85000;0.09000;-9999
KBPL12C1;50;13;120;4;1.79000;0.17000;-9999
KBPL12C4;50;12;120;4;1.96000;0.08000;-9999
KBPL12C7;50;9;120;4;0.69000;0.02000;-9999
KBPL1C1;50;13;120;4;8.00000;0.38000;-9999
KBPL1C4;50;12;120;4;3.45000;0.07000;-9999
KBPL1C7;50;9;120;4;4.44000;0.07000;-9999
KBPL2C1;50;13;120;4;4.14000;0.46000;-9999
KBPL2C4;50;12;120;4;3.11000;0.07000;-9999
KBPL2C7;50;9;120;4;1.68000;0.02000;-9999
KBPL3C1;50;13;120;4;4.96000;0.48000;-9999
KBPL3C4;50;12;120;4;4.32000;0.09000;-9999
KBPL3C7;50;9;120;4;1.75000;0.02000;-9999
KBPL4C1;50;13;120;4;7.19000;0.45000;-9999
KBPL4C4;50;12;120;4;2.36000;0.06000;-9999
KBPL4C7;50;9;120;4;3.71000;0.06000;-9999
KBPL5C1;50;13;120;4;5.48000;0.34000;-9999
KBPL5C4;50;12;120;4;5.03000;0.14000;-9999
KBPL5C7;50;9;120;4;0.58000;0.03000;-9999
KBPL6C1;50;13;120;4;8.26000;0.49000;-9999
KBPL6C4;50;12;120;4;2.33000;0.05000;44.00000
KBPL6C7;50;9;120;4;1.88000;0.03000;-9999
KBPL7C1;50;13;120;4;6.73000;0.31000;-9999
KBPL7C4;50;12;120;4;4.50000;0.09000;-9999
KBPL7C7;50;9;120;4;0.73000;0.01000;-9999
KBPL8C1;50;13;120;4;10.22000;0.54000;-9999
KBPL8C4;50;12;120;4;4.97000;0.15000;-9999
KBPL8C7;50;9;120;4;1.39000;0.03000;125.00000
KBPL9C1;50;13;120;4;11.86000;0.61000;-9999
KBPL9C4;50;12;120;4;6.07000;0.15000;-9999
KBPL9C7;50;9;120;4;0.35000;0.01000;-9999
NPL10C1;50;12;120;4;3.41000;0.21000;-9999
NPL10C4;50;9;120;4;1.95000;0.05000;32.00000
NPL10C7;50;9;120;4;0.75000;0.02000;-9999
NPL11.1C7;50;9;120;4;12.91000;0.02000;-9999
NPL11.3C7;50;12;120;4;2.13000;0.09000;-9999
NPL11C1;50;13;120;4;4.02000;0.37000;-9999
NPL11C4;50;12;120;4;3.01000;0.05000;-9999
NPL12C1;50;12;120;4;4.17000;0.14000;-9999
NPL12C4;50;12;120;4;3.53000;0.03000;-9999
NPL1C1;50;12;120;4;2.40000;0.18000;38.00000
NPL1C4;50;12;120;4;2.32000;0.06000;-9999
NPL1C7;50;9;120;4;2.02000;0.03000;-9999
NPL2C1;50;9;120;4;1.94000;0.13000;-9999
NPL2C4;50;13;120;4;2.10000;0.05000;-9999
NPL2C7;50;12;120;4;2.89000;0.03000;-9999
NPL3C1;50;9;120;4;0.81000;0.06000;-9999
NPL3C4;50;13;120;4;0.98000;0.02000;-9999
NPL3C7;50;12;120;4;1.36000;0.02000;-9999
