plotID;sampleID;BG_1;BG_2;CB_1;CB_2;AP_1;AP_2;NAG_1;NAG_2;LAP_1;LAP_2;SACCH_1;SACCH_2;PROT_1;PROT_2;MBC_1;MBC_2;TDN_1;TDN_2;NH4_1;NH4_2;NO3_1;NO3_2;DOC-nf_1;DOC-nf_2;DOC_1;DOC_2;;;;;
KBPL10;KBPL10C4;0;55.5663;219.6311;0;2429.9043;501.1374;265.1006;55.94;29.6465;0;230.2029;95.0139;89.5302;63.1065;57.5855;-9999;36.2255;144.4758;19.5367;1.1998;5.1375;43.7146;179.8559;134.2567;67.5385;34.3767;;;;;sample_ID
KBPL10;KBPL10C7;0;0;0;0;1606.5971;405.4738;0;0;5.0088;0;98.8585;122.761;127.8058;50.9135;53.3281;3.9534;12.1709;42.0086;4.9448;7.4975;3.1197;24.7983;129.8371;98.4321;40.2644;18.3295;;;;;BG_1
KBPL12;KBPL12C4;0;0;0;19.8956;1196.7053;1880.211;0;0;0;0.7959;100.3215;188.1237;88.4837;34.4455;322.8803;213.7804;30.5725;49.8789;11.7347;20.2524;4.9869;27.7194;298.2174;179.3687;143.6604;37.0513;;;;;BG_2
KBPL2;KBPL2C4;0;10.1858;0;0;1863.7661;213.8662;0;0;38.0571;21.5676;337.3889;645.1345;139.0376;-9999;676.6234;14.7989;30.957;52.6196;14.0718;40.7109;0.9986;6.814;334.555;190.2199;162.0306;13.351;;;;;CB_1
KBPL2;KBPL2C7;0;0;0;73.1905;1193.0638;752.5135;0;90.0476;0;0;88.1739;138.2696;92.5775;-9999;592.7673;26.1996;24.1719;27.3256;6.255;14.2526;4.9457;6.2729;245.3242;151.884;143.6097;20.8792;;;;;CB_2
KBPL3;KBPL3C4;0;51.2123;0;0;2487.3395;1056.4872;0;42.3513;3.069;4.0404;225.4905;266.0191;91.6061;24.1145;102.5834;19.4665;39.0615;65.452;17.7881;26.7083;1.6998;18.3075;322.1765;189.4644;126.4902;87.7883;;;;;AP_1
KBPL5;KBPL5C7;0;0;0;57.901;1312.5465;328.6048;0;0;0;0;331.5845;-9999;109.0716;91.9719;293.9665;-9999;34.4179;75.5219;11.3955;52.5565;5.3156;10.2848;400.666;956.5176;162.7145;917.2255;;;;;AP_2
KBPL6;KBPL6C4;0;115.8808;0;0;1497.5797;294.1006;0;0;67.495;9.7585;251.0188;170.6036;46.6589;25.5558;49.0029;46.4543;30.0956;59.6797;14.767;37.1011;6.6;23.2557;233.4154;130.1055;85.8602;24.6796;;;;;NAG_1
KBPL8;KBPL8C4;0;44.7345;0;0;2929.1933;334.4979;0;0;22.8209;18.9773;496.9849;324.5826;40.8897;54.8294;54.0385;26.0601;44.0157;111.6676;18.6687;88.0059;4.8991;18.1473;501.5641;305.7902;175.8832;38.4225;;;;;NAG_2
NPL10;NPL10C7;0;0;0;1.8894;12.2418;0;0;0;0;11.3073;-9999;53.4815;81.9314;-9999;272.2998;36.9514;3.6206;8.4021;1.2337;2.9394;0.4623;3.622;72.2306;56.0765;28.8223;14.8201;;;;;LAP_1
NPL1;NPL1C7;0;0;0;0;0;109.6002;0;0;0;1.3259;100.1005;85.691;36.3679;-9999;35.8806;33.6142;6.9468;16.2771;0.7727;4.4416;4.5133;7.2918;160.106;127.1142;46.8157;22.4379;;;;;LAP_2
NPL2;NPL2C1;0;751.7417;213.643;817.1976;8934.4723;3827.7023;0;161.457;0;19.0317;328.2593;349.1926;48.1616;-9999;277.5564;88.9072;110.4402;194.8383;43.9395;121.6079;23.4647;75.8876;564.7978;258.6063;344.9307;151.9166;;;;;SACCH_1
NPL2;NPL2C4;0;0;0;0;748.2706;623.2825;0;0;20.67;18.444;152.9214;428.1137;144.7387;33.6781;352.8686;67.7506;20.6477;37.6674;1.1618;16.0103;12.3578;19.5163;353.2674;236.8624;106.9267;26.9084;;;;;SACCH_2
NPL2;NPL2C7;0;187.6416;0;146.9472;249.3543;674.6323;0;48.8258;0;0;82.6112;93.3843;99.3147;73.2492;343.1822;16.1466;14.601;22.995;1.067;5.4798;12.0274;13.7013;254.3329;219.5015;57.1113;16.2952;;;;;PROT_1
NPL3;NPL3C1;0;0;360.405;118.329;14294.2542;3884.9547;0;634.9184;0;0;331.1394;222.3044;-9999;-9999;133.817;195.8812;121.5798;235.0567;49.1282;137.6114;14.791;47.8183;671.5409;248.918;435.0391;129.0612;;;;;PROT_2
