sampleID;C_soil;N_soil;FMC_soil;err_FMC_soil;delta_14C_soil;err_delta_14C_soil;FMC_CO2;err_FMC_CO2;delta_14C_CO2;err_delta_14C_CO2
KBPL10C1;8.8822;0.9224;1.035;0.0018;26.3;1.8;1.0874;0.0021;78.3;2.1
KBPL10C4;3.7552;0.3812;0.8032;0.0016;-203.6;1.6;0.9715;0.0016;-36.6;1.6
KBPL10C7;2.7347;0.2648;0.6257;0.0014;-379.6;1.4;0.9547;0.0019;-53.2;1.9
KBPL11C1;8.8822;0.9224;1.035;0.0018;26.3;1.8;1.0874;0.0021;78.3;2.1
KBPL11C4;3.7552;0.3812;0.8032;0.0016;-203.6;1.6;0.9715;0.0016;-36.6;1.6
KBPL11C7;2.7347;0.2648;0.6257;0.0014;-379.6;1.4;0.9547;0.0019;-53.2;1.9
KBPL12C1;8.8822;0.9224;1.035;0.0018;26.3;1.8;1.0874;0.0021;78.3;2.1
KBPL12C4;3.7552;0.3812;0.8032;0.0016;-203.6;1.6;0.9715;0.0016;-36.6;1.6
KBPL12C7;2.7347;0.2648;0.6257;0.0014;-379.6;1.4;0.9547;0.0019;-53.2;1.9
KBPL1C1;8.6036;0.7002;1.0423;0.0019;33.6;1.9;1.0935;0.0019;84.4;1.9
KBPL1C4;2.0792;0.2089;0.8317;0.0016;-175.3;1.6;0.976;0.002;-32.1;2
KBPL1C7;1.5111;0.1629;0.7191;0.0015;-287;1.5;0.9286;0.002;-79.1;2
KBPL2C1;8.6036;0.7002;1.0423;0.0019;33.6;1.9;1.0935;0.0019;84.4;1.9
KBPL2C4;2.0792;0.2089;0.8317;0.0016;-175.3;1.6;0.976;0.002;-32.1;2
KBPL2C7;1.5111;0.1629;0.7191;0.0015;-287;1.5;0.9286;0.002;-79.1;2
KBPL3C1;8.6036;0.7002;1.0423;0.0019;33.6;1.9;1.0935;0.0019;84.4;1.9
KBPL3C4;2.0792;0.2089;0.8317;0.0016;-175.3;1.6;0.976;0.002;-32.1;2
KBPL3C7;1.5111;0.1629;0.7191;0.0015;-287;1.5;0.9286;0.002;-79.1;2
KBPL4C1;5.6285;0.5969;1.0501;0.0018;41.3;1.8;1.0887;0.0024;79.7;2.4
KBPL4C4;2.6315;0.2653;0.8707;0.0016;-136.6;1.6;1.0049;0.0021;-3.4;2.1
KBPL4C7;1.7093;0.1786;0.7417;0.0014;-264.5;1.4;0.9552;0.0019;-52.7;1.9
KBPL5C1;5.6285;0.5969;1.0501;0.0018;41.3;1.8;1.0887;0.0024;79.7;2.4
KBPL5C4;2.6315;0.2653;0.8707;0.0016;-136.6;1.6;1.0049;0.0021;-3.4;2.1
KBPL5C7;1.7093;0.1786;0.7417;0.0014;-264.5;1.4;0.9552;0.0019;-52.7;1.9
KBPL6C1;5.6285;0.5969;1.0501;0.0018;41.3;1.8;1.0887;0.0024;79.7;2.4
KBPL6C4;2.6315;0.2653;0.8707;0.0016;-136.6;1.6;1.0049;0.0021;-3.4;2.1
KBPL6C7;1.7093;0.1786;0.7417;0.0014;-264.5;1.4;0.9552;0.0019;-52.7;1.9
KBPL7C1;5.142;0.515;1.0273;0.0026;18.6;2.6;1.0958;0.0023;86.7;2.3
KBPL7C4;2.6073;0.2578;0.9064;0.0017;-101.2;1.7;1.0208;0.0019;12.3;1.9
KBPL7C7;1.7973;0.1769;0.7842;0.0015;-222.4;1.5;0.9584;0.002;-49.6;2
KBPL8C1;5.142;0.515;1.0273;0.0026;18.6;2.6;1.0958;0.0023;86.7;2.3
KBPL8C4;2.6073;0.2578;0.9064;0.0017;-101.2;1.7;1.0208;0.0019;12.3;1.9
KBPL8C7;1.7973;0.1769;0.7842;0.0015;-222.4;1.5;0.9584;0.002;-49.6;2
KBPL9C1;5.142;0.515;1.0273;0.0026;18.6;2.6;1.0958;0.0023;86.7;2.3
KBPL9C4;2.6073;0.2578;0.9064;0.0017;-101.2;1.7;1.0208;0.0019;12.3;1.9
KBPL9C7;1.7973;0.1769;0.7842;0.0015;-222.4;1.5;0.9584;0.002;-49.6;2
NPL10C1;5.9119;0.3526;1.0291;0.002;20.4;2;1.059;0.0019;50.2;1.9
NPL10C4;1.6272;0.0608;0.6371;0.0014;-368.2;1.4;-9999;-9999;-9999;-9999
NPL10C7;2.1677;0.0558;0.3859;0.0011;-617.4;1.1;0.5768;0.0013;-428;1.3
NPL11.3C7;2.1677;0.0558;0.3859;0.0011;-617.4;1.1;0.5768;0.0013;-428;1.3
NPL11C1;5.9119;0.3526;1.0291;0.002;20.4;2;1.059;0.0019;50.2;1.9
NPL11C4;1.6272;0.0608;0.6371;0.0014;-368.2;1.4;-9999;-9999;-9999;-9999
NPL12C1;5.9119;0.3526;1.0291;0.002;20.4;2;1.059;0.0019;50.2;1.9
NPL12C4;1.6272;0.0608;0.6371;0.0014;-368.2;1.4;-9999;-9999;-9999;-9999
NPL12C7;2.1677;0.0558;0.3859;0.0011;-617.4;1.1;0.5768;0.0013;-428;1.3
NPL1C1;6.5515;0.4472;0.9552;0.0017;-52.9;1.7;1.0463;0.002;37.6;2
NPL1C4;2.5301;0.163;0.57;0.0012;-434.8;1.2;-9999;-9999;-9999;-9999
NPL1C7;1.5039;0.1003;0.3134;0.001;-689.3;1;0.8449;0.0032;-162.1;3.2
NPL2C1;6.5515;0.4472;0.9552;0.0017;-52.9;1.7;1.0463;0.002;37.6;2
NPL2C4;2.5301;0.163;0.57;0.0012;-434.8;1.2;-9999;-9999;-9999;-9999
NPL2C7;1.5039;0.1003;0.3134;0.001;-689.3;1;0.8449;0.0032;-162.1;3.2
NPL3C1;6.5515;0.4472;0.9552;0.0017;-52.9;1.7;1.0463;0.002;37.6;2
NPL3C4;2.5301;0.163;0.57;0.0012;-434.8;1.2;-9999;-9999;-9999;-9999
NPL3C7;1.5039;0.1003;0.3134;0.001;-689.3;1;0.8449;0.0032;-162.1;3.2
NPL4C1;3.4217;0.1977;0.9016;0.0018;-106.1;1.8;1.053;0.0018;44.3;1.8
NPL4C4;2.237;0.0869;0.3944;0.0013;-608.9;1.3;-9999;-9999;-9999;-9999
NPL4C7;1.3282;0.0458;0.2452;0.0009;-756.9;0.9;0.8627;0.0031;-144.5;3.1
NPL5C1;3.4217;0.1977;0.9016;0.0018;-106.1;1.8;1.053;0.0018;44.3;1.8
NPL5C4;2.237;0.0869;0.3944;0.0013;-608.9;1.3;-9999;-9999;-9999;-9999
NPL5C7;1.3282;0.0458;0.2452;0.0009;-756.9;0.9;0.8627;0.0031;-144.5;3.1
NPL6C1;3.4217;0.1977;0.9016;0.0018;-106.1;1.8;1.053;0.0018;44.3;1.8
NPL6C4;2.237;0.0869;0.3944;0.0013;-608.9;1.3;-9999;-9999;-9999;-9999
NPL6C7;1.3282;0.0458;0.2452;0.0009;-756.9;0.9;0.8627;0.0031;-144.5;3.1
NPL7C1;6.0722;0.4033;0.9308;0.0019;-77.1;1.9;1.0276;0.0018;19.1;1.8
NPL7C4;3.3419;0.2059;0.6448;0.0014;-360.7;1.4;-9999;-9999;-9999;-9999
NPL7C7;2.1707;0.1347;0.4241;0.0011;-579.4;1.1;0.8915;0.003;-115.9;3
