sampleID;rock_type_comment;N;C;Ca_ICPOES;Cu_ICPOES;K_ICPOES;Mg_ICPOES;Na_ICPOES;P_ICPOES;Ti_ICPOES;Zn_ICPOES;Al_ICPOES;Fe_ICPOES;Mn_ICPOES;Na_XRF;Mg_XRF;Al_XRF;Si_XRF;P_XRF;S_XRF;Cl_XRF;K_XRF;Ca_XRF;Sc_XRF;Ti_XRF;Cr_XRF;Mn_XRF;Fe_XRF;Co_XRF;Ni_XRF;Cu_XRF;Zn_XRF;As_XRF;Se_XRF;Br_XRF;Rb_XRF;Sr_XRF;Y_XRF;Zr_XRF;Mo_XRF;Ag_XRF;Cd_XRF;In_XRF;Sn_XRF;Sb_XRF;Te_XRF;I_XRF;Cs_XRF;Ba_XRF;La_XRF;Ce_XRF;Pr_XRF;Nd_XRF;Hf_XRF;Ta_XRF;W_XRF;Au_XRF;Hg_XRF;Tl_XRF;Pb_XRF;Bi_XRF;Th_XRF;U_XRF
rock_KBPL1_profile_85cm;saprolith, olivine basalt with pyroxene;0.0199;0.3045;1.2937;0.0049;0.2495;1.4394;0.1519;0.5276;0.1774;0.0076;3.5763;7.5768;0.1063;0.48;3.022;8.373;14.64;1.264;1455;633.1;0.3063;7.994;0.0145;0.9497;532.4;0.1786;10.38;67;155.2;44.4;98.6;3.3;0.5;9.6;12.8;593.8;40.4;169;3.5;0.5;0.3;0.5;0.5;0.5;0.5;0.7;1;851.4;85.5;162.7;4;0.2;11.2;1.6;1.2;0.4;0.7;0.7;6.9;0.5;16.1;3.1
rock_KBPL15_steep_10cm;olivin basalt;0.0561;0.8831;0.7931;0.002;0.0037;1.641;0.014;0.4651;0.454;0.0102;6.9152;7.6394;0.1117;0.01;3.086;11.94;13.34;0.7464;2126;76.3;0.064;4.991;0.0135;0.8744;566.3;0.1645;9.615;57.9;160.6;19.9;127.3;21.7;0.5;20;0.8;57.5;29.3;172.1;3.2;0.5;0.3;0.5;0.5;0.5;0.5;4;1;47.5;48.7;83.1;4;5.1;1.4;1.6;1.2;0.4;0.7;0.7;14.4;0.5;12.5;0.4
rock_KBPL15_steep_140cm;saprolith, olivine basalt;0.014;0.1416;0.0198;0.0081;0.0164;0.7649;0.037;0.1349;0.9551;0.0106;10.3851;11.0173;0.1715;0.01;0.2465;14.51;15.68;0.2068;351.3;34.6;0.0378;0.0374;0.0053;2.053;544.8;0.195;12.21;96.1;324.7;103.7;122.2;12.5;0.5;2.2;4.1;57.4;54.3;466.9;2.1;0.5;0.3;0.5;1.3;0.5;0.5;0.6;1;917.8;557.5;101.1;34.6;79.3;2.8;1.6;1.2;0.4;0.7;0.7;11.5;0.5;13.4;0.8
rock_KBPL15_steep_160cm;sheared meta-basalt ?;0.0281;0.0528;0;0.0018;0.1034;0.017;0.0035;0.0452;0.0188;0.001;0.9008;3.0328;0.0103;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
rock_KBPL15_steep_40cm;saprolith, olivine basalt;0.0785;1.1562;0.0408;0.0143;0.0387;0.9258;0.0645;0.339;0.6032;0.0097;7.6326;11.3192;0.1384;0.01;0.581;12.31;12.91;0.491;850;63.7;0.9077;0.0794;0.0046;1.04;594.4;0.1535;11.31;71.7;292.5;134.5;112.4;60.7;0.5;32.4;63.5;26.2;33.6;291.4;1.4;0.5;0.3;0.5;0.5;0.5;0.5;17.8;1;1453;50.9;121.1;8.9;5.1;16.4;1.6;1.2;0.4;0.7;0.7;10.8;0.5;20.2;1.4
rock_KBPL15_steep_50cm;meta-basalt;0.0114;0.0653;0.0077;0.0015;0.0388;1.5016;0.0142;0.0374;0.0157;0.0157;4.4901;9.4385;0.3114;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
rock_KBPL15_steep_60cm;saprolith, basalt;0.0944;1.6193;0.1678;0.0056;0.026;1.2656;0.0083;0.3976;0.5153;0.006;6.5314;9.2443;0.1239;0.01;1.103;12.61;11.6;0.7317;2747;73.1;0.632;1.187;0.0078;1.029;538.9;0.1585;10.6;61;141.6;45.7;69;36.8;0.5;40;38.4;31.3;30.1;239.2;4;0.5;0.3;0.5;0.5;0.5;0.5;20.2;1;232.6;33.4;129.4;7.4;5.1;10.4;1.6;1.2;0.4;0.7;0.7;7.8;0.5;16.8;0.4
rock_KBPL15_steep_70cm;sheared meta-basalt ?;0.0317;0.0564;0;0.0021;0.0844;0.0188;0.0033;0.0504;0.0243;0.001;0.9431;3.4312;0.0086;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
rock_KBPL6;saprolith, olivine basalt with pyroxene;0.0355;0.4132;1.1806;0.0032;0.1375;1.4829;0.2159;0.3269;0.1625;0.0069;2.571;7.1048;0.1148;0.62;3.835;7.066;17.15;0.9734;671;617.2;1.214;8.178;0.0147;0.9873;816.4;0.208;10.83;73.3;176.2;26.5;100.5;0.6;0.5;11.1;40.3;477.6;39.9;175.9;5.7;0.5;0.3;0.5;0.5;0.5;0.5;0.7;1;773.7;68.1;130;4;5.1;10.3;1.6;1.2;0.4;0.7;0.7;6.6;0.5;14.4;2
rock_N_roadcut_1;quarzite, quartze sandstone;0.0082;0.2349;0.0164;0.0185;0.0936;0.0191;0.0065;0.0376;0.0036;0.0023;0.3695;3.0493;0.0054;0.01;0.002;1.1;41.88;0.0632;2;121.9;0.2838;0.021;0.001;0.0646;450.8;0.0085;2.769;13.8;12.2;154.7;23;378.1;1.7;0.5;15.1;8.5;11;31.3;51.2;0.5;0.3;0.5;0.5;0.5;0.5;0.7;1;114.1;8.8;16.6;2;12.4;1.7;1.6;1.2;1.7;0.5;0.7;19.8;0.5;1.5;1.9
