plotID;horizonID;date;authors;weather;landform;position;slope;landuse;vegetation;human_influence;parent_material;rock_cover;rock_frag_cover;surface_sealing;cracks;surface_characteristics;erosion_category;erosion_area;erosion_degree;erosion_activity;horizon_cap;horizon_suffix;horizon_top;horizon_bot;full_profile_depth;comments_notes;distinctness;horizon_topography;carbonates;class_rock_fragments;abun_rock_fragments;shape_rock_fragments;weathering_rock_fragments;nature_rock_fragments;class_artefacts;abundance_artefacts;shape_artefacts;weathering_artefacts;nature_artefacts;soil_colour_matrix;munsell_colour_wet;abundance_mottling;grade_aggregates;type_aggregates;size_aggregates;cons_wet_aggregates;stickiness_aggregates;plasticity_aggregates;type_voids;size_voids;abundance_voids;abundance_coatings;abundance_concretions;size_diameter_roots;abundance_roots;abundance_biol_act;biol_act;diagnostic_horizon;diagnostic_properties;diagnostic_materials;reference_soil_group;principal_qualifiers;editor;institute
KBPL1;1;18.04.2018;Reichenbach, Kidinda;OV;LL;CR;VV;PN2;FE;sporadic by hunters and gatherers;IB2;N;N;N;N;;N;;;;A;h;0;10;100;;A;W;N;;N;;;;;;;;;;2.5YR 2/2;N;WE;GR;FI-VC;VFR;SST;SPL;I, V, C;FK;C;N;N;F, C;V, C;F;T;nitic;;;Nitisol;ferralic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
KBPL1;2;18.04.2018;Reichenbach, Kidinda;OV;LL;CR;VV;PN2;FE;sporadic by hunters and gatherers;IB2;N;N;N;N;;N;;;;AB;h, w;10;35;100;;G;W;N;F;V;S;F;Qtz;;;;;;;2:5YR 3/3;N;MO;GR;FI-VC;VFR;SST;SPL;I, V;FV;C;N;N;F, C;V, F;F;T;nitic;;;Nitisol;ferralic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
KBPL1;3;18.04.2018;Reichenbach, Kidinda;OV;LL;CR;VV;PN2;FE;sporadic by hunters and gatherers;IB2;N;N;N;N;;N;;;;B1;w;35;65;100;"Differentation between B1 and B2 by roots; B2 contains nearly no roots";G;W;N;F;V;S;F;Qtz, MA;F;V;S;W;charcoal;;2.5YR 3/3;N;MO;SB;FI-CO;FR;SST;SPL;I, C;F;V;N;N;F, C;V, F;F;T, C;nitic;;;Nitisol;ferralic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
KBPL1;4;18.04.2018;Reichenbach, Kidinda;OV;LL;CR;VV;PN2;FE;sporadic by hunters and gatherers;IB2;N;N;N;N;;N;;;;B2;w;65;;100;Lower horizon boundary not reached;Lower horizon boundary not reached;Lower horizon boundary not reached;N;MC;F;S,A;;Qtz, IB2;F;V;S;W;charcoal;;2.5YR 3/3;N;MO;SB;FI-VC;FR;SST;SPL;I;V;L;N;N;F;V;F;C;nitic;;;Nitisol;ferralic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
KBPL4;5;21.04.2018;Reichenbach, Kidinda;RA;SH;VP;SS;PN2;FE;sporadic by hunters and gatherers;IB2;N;N;N;N;;N;;;;AB;h, w;7;32;110;;C;W;N;;N;;;;F-M;V;S;W;charcoal;;2.5YR 2/2;N;MO;SB;F-CO;VFR;SST;SPL;V, I, C;C, VF, VF;C;N;N;VF-C;F, F;F;I, C;nitic;;;Nitisol;ferralic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
KBPL4;6;21.04.2018;Reichenbach, Kidinda;RA;SH;VP;SS;PN2;FE;sporadic by hunters and gatherers;IB2;N;N;N;N;;N;;;;B1;w;32;65;110;;G;W;N;;N;;;;F-M;V;S;W;charcoal;;2.5YR 2/2;N;MO;SB;F-CO;VFR;SST;SPL;V, I, C;VC, F, F;V, M, M;N;N;VF-M;VF, V;F;C;nitic;;;Nitisol;ferralic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
KBPL4;7;21.04.2018;Reichenbach, Kidinda;RA;SH;VP;SS;PN2;FE;sporadic by hunters and gatherers;IB2;N;N;N;N;;N;;;;B2;w;65;;110;"Differentation between B1 and B2 by roots; B2 contains nearly no roots";Lower horizon boundary not reached;Lower horizon boundary not reached;N;;N;;;;F-M;V;A;W;charcoal;;2.5YR 2/3;N;MO;SB;F-CO;VFR;SST;SPL;V, I, C;VC, F, F;F, M, F;N;N;F;V;F;C;nitic;;;Nitisol;ferralic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
KBPL4;8;21.04.2018;Reichenbach, Kidinda;RA;SH;VP;SS;PN2;FE;sporadic by hunters and gatherers;IB2;N;N;N;N;;N;;;;A;h;0;7;110;;A;W;N;;N;;;;;N;;;;;2.5YR 2/3;N;WE;GR;FI-CO;VFR;SST;SPL;I;VF;M;N;N;VF-C;F, F;F;I;nitic;;;Nitisol;ferralic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
KBPL8;9;22.04.2018;Reichenbach, Kidinda;OV;TH;MS;SS;PN2;FE;sporadic by hunters and gatherers;IB2;N;N;N;N;;N;;;;A;h;0;13;200;;A;S;N;;N;;;;N;;;;;;2.5YR 2/2;N;WE;GR;FI-VC;VFR-FR;SST;SPL;I;V;M;N;N;VF-C;F, F;F;I;nitic;;;Nitisol;ferralic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
KBPL8;10;22.04.2018;Reichenbach, Kidinda;OV;TH;MS;SS;PN2;FE;sporadic by hunters and gatherers;IB2;N;N;N;N;;N;;;;AB;h, w;13;31;200;;C;W;N;;N;;;;N;;;;;;2.5YR 2/3;N;MO;SB;FI-CO;FR;SST;SPL;I, C;V, F;M, S;N;N;VF-C;VF, VF;F, F;I, F;nitic;;;Nitisol;ferralic;"M. Reichenbach, L. Kidinda; B. Bukombe";University Augsburg
